i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	Filter
510	1253	895	510	1276	910	510	1308	933	0
1253	895	510	1276	910	510	1308	933	506	0
895	510	1276	910	510	1308	933	506	1304	1
510	1276	910	510	1308	933	506	1304	875	0
1276	910	510	1308	933	506	1304	875	518	0
910	510	1308	933	506	1304	875	518	1179	1
510	1308	933	506	1304	875	518	1179	836	0
1308	933	506	1304	875	518	1179	836	541	0
933	506	1304	875	518	1179	836	541	1276	1
506	1304	875	518	1179	836	541	1276	880	0
1304	875	518	1179	836	541	1276	880	537	0
875	518	1179	836	541	1276	880	537	1257	1
518	1179	836	541	1276	880	537	1257	887	0
1179	836	541	1276	880	537	1257	887	517	0
836	541	1276	880	537	1257	887	517	1273	1
541	1276	880	537	1257	887	517	1273	910	0
1276	880	537	1257	887	517	1273	910	529	0
880	537	1257	887	517	1273	910	529	1284	1
537	1257	887	517	1273	910	529	1284	930	0
1257	887	517	1273	910	529	1284	930	506	0
887	517	1273	910	529	1284	930	506	1346	1
517	1273	910	529	1284	930	506	1346	950	0
1273	910	529	1284	930	506	1346	950	502	0
910	529	1284	930	506	1346	950	502	1354	1
529	1284	930	506	1346	950	502	1354	953	0
1284	930	506	1346	950	502	1354	953	502	0
930	506	1346	950	502	1354	953	502	1339	1
506	1346	950	502	1354	953	502	1339	941	0
1346	950	502	1354	953	502	1339	941	502	0
950	502	1354	953	502	1339	941	502	1288	1
502	1354	953	502	1339	941	502	1288	907	0
1354	953	502	1339	941	502	1288	907	517	0
953	502	1339	941	502	1288	907	517	1273	1
502	1339	941	502	1288	907	517	1273	910	0
1339	941	502	1288	907	517	1273	910	502	0
941	502	1288	907	517	1273	910	502	1284	1
502	1288	907	517	1273	910	502	1284	876	0
1288	907	517	1273	910	502	1284	876	521	0
907	517	1273	910	502	1284	876	521	1237	1
517	1273	910	502	1284	876	521	1237	903	0
1273	910	502	1284	876	521	1237	903	518	0
910	502	1284	876	521	1237	903	518	1264	1
502	1284	876	521	1237	903	518	1264	915	0
1284	876	521	1237	903	518	1264	915	521	0
876	521	1237	903	518	1264	915	521	1300	1
521	1237	903	518	1264	915	521	1300	910	0
1237	903	518	1264	915	521	1300	910	514	0
903	518	1264	915	521	1300	910	514	1315	1
518	1264	915	521	1300	910	514	1315	926	0
1264	915	521	1300	910	514	1315	926	498	0
915	521	1300	910	514	1315	926	498	1335	1
521	1300	910	514	1315	926	498	1335	949	0
1300	910	514	1315	926	498	1335	949	506	0
910	514	1315	926	498	1335	949	506	1346	1
514	1315	926	498	1335	949	506	1346	915	0
1315	926	498	1335	949	506	1346	915	509	0
926	498	1335	949	506	1346	915	509	1327	1
498	1335	949	506	1346	915	509	1327	934	0
1335	949	506	1346	915	509	1327	934	510	0
949	506	1346	915	509	1327	934	510	1288	1
506	1346	915	509	1327	934	510	1288	926	0
1346	915	509	1327	934	510	1288	926	498	0
915	509	1327	934	510	1288	926	498	1288	1
509	1327	934	510	1288	926	498	1288	914	0
1327	934	510	1288	926	498	1288	914	514	0
934	510	1288	926	498	1288	914	514	1288	1
510	1288	926	498	1288	914	514	1288	926	0
1288	926	498	1288	914	514	1288	926	517	0
926	498	1288	914	514	1288	926	517	1296	1
498	1288	914	514	1288	926	517	1296	938	0
1288	914	514	1288	926	517	1296	938	502	0
914	514	1288	926	517	1296	938	502	1350	1
514	1288	926	517	1296	938	502	1350	957	0
1288	926	517	1296	938	502	1350	957	498	0
926	517	1296	938	502	1350	957	498	1374	1
517	1296	938	502	1350	957	498	1374	953	0
1296	938	502	1350	957	498	1374	953	930	0
938	502	1350	957	498	1374	953	930	922	1
502	1350	957	498	1374	953	930	922	922	0
1350	957	498	1374	953	930	922	922	502	0
957	498	1374	953	930	922	922	502	1339	0
498	1374	953	930	922	922	502	1339	934	0
1374	953	930	922	922	502	1339	934	506	0
953	930	922	922	502	1339	934	506	1299	1
930	922	922	502	1339	934	506	1299	930	0
922	922	502	1339	934	506	1299	930	514	0
922	502	1339	934	506	1299	930	514	1280	1
502	1339	934	506	1299	930	514	1280	922	0
1339	934	506	1299	930	514	1280	922	518	0
934	506	1299	930	514	1280	922	518	1311	1
506	1299	930	514	1280	922	518	1311	926	0
1299	930	514	1280	922	518	1311	926	514	0
930	514	1280	922	518	1311	926	514	1334	1
514	1280	922	518	1311	926	514	1334	950	0
1280	922	518	1311	926	514	1334	950	498	0
922	518	1311	926	514	1334	950	498	1311	1
518	1311	926	514	1334	950	498	1311	938	0
1311	926	514	1334	950	498	1311	938	509	0
926	514	1334	950	498	1311	938	509	1319	1
514	1334	950	498	1311	938	509	1319	919	0
1334	950	498	1311	938	509	1319	919	506	0
950	498	1311	938	509	1319	919	506	1350	1
498	1311	938	509	1319	919	506	1350	949	0
1311	938	509	1319	919	506	1350	949	498	0
938	509	1319	919	506	1350	949	498	1331	1
509	1319	919	506	1350	949	498	1331	953	0
1319	919	506	1350	949	498	1331	953	502	0
919	506	1350	949	498	1331	953	502	1347	1
506	1350	949	498	1331	953	502	1347	945	0
1350	949	498	1331	953	502	1347	945	494	0
949	498	1331	953	502	1347	945	494	1366	1
498	1331	953	502	1347	945	494	1366	938	0
1331	953	502	1347	945	494	1366	938	922	0
953	502	1347	945	494	1366	938	922	961	1
502	1347	945	494	1366	938	922	961	965	0
1347	945	494	1366	938	922	961	965	949	0
945	494	1366	938	922	961	965	949	950	0
494	1366	938	922	961	965	949	950	984	0
1366	938	922	961	965	949	950	984	502	0
938	922	961	965	949	950	984	502	1459	0
922	961	965	949	950	984	502	1459	973	0
961	965	949	950	984	502	1459	973	961	0
965	949	950	984	502	1459	973	961	977	1
949	950	984	502	1459	973	961	977	973	0
950	984	502	1459	973	961	977	973	961	0
984	502	1459	973	961	977	973	961	961	0
502	1459	973	961	977	973	961	961	945	0
1459	973	961	977	973	961	961	945	479	0
973	961	977	973	961	961	945	479	1420	0
961	977	973	961	961	945	479	1420	1016	0
977	973	961	961	945	479	1420	1016	969	1
973	961	961	945	479	1420	1016	969	972	1
961	961	945	479	1420	1016	969	972	930	0
961	945	479	1420	1016	969	972	930	934	0
945	479	1420	1016	969	972	930	934	953	0
479	1420	1016	969	972	930	934	953	954	0
1420	1016	969	972	930	934	953	954	506	0
1016	969	972	930	934	953	954	506	1326	0
969	972	930	934	953	954	506	1326	930	0
972	930	934	953	954	506	1326	930	510	0
930	934	953	954	506	1326	930	510	1273	1
934	953	954	506	1326	930	510	1273	894	0
953	954	506	1326	930	510	1273	894	510	0
954	506	1326	930	510	1273	894	510	1284	1
506	1326	930	510	1273	894	510	1284	911	0
1326	930	510	1273	894	510	1284	911	517	0
930	510	1273	894	510	1284	911	517	1308	1
510	1273	894	510	1284	911	517	1308	934	0
1273	894	510	1284	911	517	1308	934	513	0
894	510	1284	911	517	1308	934	513	1335	1
510	1284	911	517	1308	934	513	1335	961	0
1284	911	517	1308	934	513	1335	961	510	0
911	517	1308	934	513	1335	961	510	1369	1
517	1308	934	513	1335	961	510	1369	934	0
1308	934	513	1335	961	510	1369	934	502	0
934	513	1335	961	510	1369	934	502	1401	1
513	1335	961	510	1369	934	502	1401	949	0
1335	961	510	1369	934	502	1401	949	926	0
961	510	1369	934	502	1401	949	926	946	1
510	1369	934	502	1401	949	926	946	969	0
1369	934	502	1401	949	926	946	969	957	0
934	502	1401	949	926	946	969	957	942	0
502	1401	949	926	946	969	957	942	926	0
1401	949	926	946	969	957	942	926	509	0
949	926	946	969	957	942	926	509	1323	0
926	946	969	957	942	926	509	1323	884	0
946	969	957	942	926	509	1323	884	517	0
969	957	942	926	509	1323	884	517	1199	1
957	942	926	509	1323	884	517	1199	848	0
942	926	509	1323	884	517	1199	848	544	0
926	509	1323	884	517	1199	848	544	1250	1
509	1323	884	517	1199	848	544	1250	972	0
1323	884	517	1199	848	544	1250	972	522	0
884	517	1199	848	544	1250	972	522	1307	1
517	1199	848	544	1250	972	522	1307	934	0
1199	848	544	1250	972	522	1307	934	510	0
848	544	1250	972	522	1307	934	510	1342	1
544	1250	972	522	1307	934	510	1342	969	0
1250	972	522	1307	934	510	1342	969	502	0
972	522	1307	934	510	1342	969	502	1354	1
522	1307	934	510	1342	969	502	1354	965	0
1307	934	510	1342	969	502	1354	965	506	0
934	510	1342	969	502	1354	965	506	1358	1
510	1342	969	502	1354	965	506	1358	945	0
1342	969	502	1354	965	506	1358	945	506	0
969	502	1354	965	506	1358	945	506	1374	1
502	1354	965	506	1358	945	506	1374	937	0
1354	965	506	1358	945	506	1374	937	498	0
965	506	1358	945	506	1374	937	498	1374	1
506	1358	945	506	1374	937	498	1374	953	0
1358	945	506	1374	937	498	1374	953	502	0
945	506	1374	937	498	1374	953	502	1343	1
506	1374	937	498	1374	953	502	1343	941	0
1374	937	498	1374	953	502	1343	941	502	0
937	498	1374	953	502	1343	941	502	1362	1
498	1374	953	502	1343	941	502	1362	934	0
1374	953	502	1343	941	502	1362	934	498	0
953	502	1343	941	502	1362	934	498	1397	1
502	1343	941	502	1362	934	498	1397	973	0
1343	941	502	1362	934	498	1397	973	934	0
941	502	1362	934	498	1397	973	934	945	1
502	1362	934	498	1397	973	934	945	965	0
1362	934	498	1397	973	934	945	965	965	0
934	498	1397	973	934	945	965	965	957	0
498	1397	973	934	945	965	965	957	934	0
1397	973	934	945	965	965	957	934	502	0
973	934	945	965	965	957	934	502	1397	0
934	945	965	965	957	934	502	1397	973	0
945	965	965	957	934	502	1397	973	937	0
965	965	957	934	502	1397	973	937	934	1
965	957	934	502	1397	973	937	934	961	0
957	934	502	1397	973	937	934	961	498	0
934	502	1397	973	937	934	961	498	1382	0
502	1397	973	937	934	961	498	1382	934	0
1397	973	937	934	961	498	1382	934	502	0
973	937	934	961	498	1382	934	502	1389	1
937	934	961	498	1382	934	502	1389	965	0
934	961	498	1382	934	502	1389	965	922	0
961	498	1382	934	502	1389	965	922	934	1
498	1382	934	502	1389	965	922	934	972	0
1382	934	502	1389	965	922	934	972	961	0
934	502	1389	965	922	934	972	961	930	0
502	1389	965	922	934	972	961	930	965	0
1389	965	922	934	972	961	930	965	510	0
965	922	934	972	961	930	965	510	1405	0
922	934	972	961	930	965	510	1405	957	0
934	972	961	930	965	510	1405	957	498	0
972	961	930	965	510	1405	957	498	1420	1
961	930	965	510	1405	957	498	1420	989	0
930	965	510	1405	957	498	1420	989	930	0
965	510	1405	957	498	1420	989	930	933	1
510	1405	957	498	1420	989	930	933	977	0
1405	957	498	1420	989	930	933	977	953	0
957	498	1420	989	930	933	977	953	934	0
498	1420	989	930	933	977	953	934	942	0
1420	989	930	933	977	953	934	942	514	0
989	930	933	977	953	934	942	514	1400	0
930	933	977	953	934	942	514	1400	950	0
933	977	953	934	942	514	1400	950	502	0
977	953	934	942	514	1400	950	502	1342	1
953	934	942	514	1400	950	502	1342	946	0
934	942	514	1400	950	502	1342	946	509	0
942	514	1400	950	502	1342	946	509	1331	1
514	1400	950	502	1342	946	509	1331	934	0
1400	950	502	1342	946	509	1331	934	510	0
950	502	1342	946	509	1331	934	510	1342	1
502	1342	946	509	1331	934	510	1342	953	0
1342	946	509	1331	934	510	1342	953	502	0
946	509	1331	934	510	1342	953	502	1312	1
509	1331	934	510	1342	953	502	1312	945	0
1331	934	510	1342	953	502	1312	945	506	0
934	510	1342	953	502	1312	945	506	1335	1
510	1342	953	502	1312	945	506	1335	933	0
1342	953	502	1312	945	506	1335	933	502	0
953	502	1312	945	506	1335	933	502	1351	1
502	1312	945	506	1335	933	502	1351	957	0
1312	945	506	1335	933	502	1351	957	498	0
945	506	1335	933	502	1351	957	498	1338	1
506	1335	933	502	1351	957	498	1338	942	0
1335	933	502	1351	957	498	1338	942	502	0
933	502	1351	957	498	1338	942	502	1307	1
502	1351	957	498	1338	942	502	1307	923	0
1351	957	498	1338	942	502	1307	923	509	0
957	498	1338	942	502	1307	923	509	1284	1
498	1338	942	502	1307	923	509	1284	915	0
1338	942	502	1307	923	509	1284	915	498	0
942	502	1307	923	509	1284	915	498	1311	1
502	1307	923	509	1284	915	498	1311	922	0
1307	923	509	1284	915	498	1311	922	506	0
923	509	1284	915	498	1311	922	506	1269	1
509	1284	915	498	1311	922	506	1269	898	0
1284	915	498	1311	922	506	1269	898	506	0
915	498	1311	922	506	1269	898	506	1276	1
498	1311	922	506	1269	898	506	1276	899	0
1311	922	506	1269	898	506	1276	899	522	0
922	506	1269	898	506	1276	899	522	1284	1
506	1269	898	506	1276	899	522	1284	906	0
1269	898	506	1276	899	522	1284	906	522	0
898	506	1276	899	522	1284	906	522	1257	1
506	1276	899	522	1284	906	522	1257	894	0
1276	899	522	1284	906	522	1257	894	510	0
899	522	1284	906	522	1257	894	510	1214	1
522	1284	906	522	1257	894	510	1214	837	0
1284	906	522	1257	894	510	1214	837	556	0
906	522	1257	894	510	1214	837	556	1152	1
522	1257	894	510	1214	837	556	1152	848	0
1257	894	510	1214	837	556	1152	848	564	0
894	510	1214	837	556	1152	848	564	1218	1
510	1214	837	556	1152	848	564	1218	884	0
1214	837	556	1152	848	564	1218	884	556	0
837	556	1152	848	564	1218	884	556	1253	1
556	1152	848	564	1218	884	556	1253	914	0
1152	848	564	1218	884	556	1253	914	518	0
848	564	1218	884	556	1253	914	518	1284	1
564	1218	884	556	1253	914	518	1284	903	0
1218	884	556	1253	914	518	1284	903	533	0
884	556	1253	914	518	1284	903	533	1260	1
556	1253	914	518	1284	903	533	1260	895	0
1253	914	518	1284	903	533	1260	895	522	0
914	518	1284	903	533	1260	895	522	1276	1
518	1284	903	533	1260	895	522	1276	911	0
1284	903	533	1260	895	522	1276	911	529	0
903	533	1260	895	522	1276	911	529	1303	1
533	1260	895	522	1276	911	529	1303	926	0
1260	895	522	1276	911	529	1303	926	522	0
895	522	1276	911	529	1303	926	522	1315	1
522	1276	911	529	1303	926	522	1315	926	0
1276	911	529	1303	926	522	1315	926	506	0
911	529	1303	926	522	1315	926	506	1315	1
529	1303	926	522	1315	926	506	1315	922	0
1303	926	522	1315	926	506	1315	922	521	0
926	522	1315	926	506	1315	922	521	1316	1
522	1315	926	506	1315	922	521	1316	937	0
1315	926	506	1315	922	521	1316	937	506	0
926	506	1315	922	521	1316	937	506	1323	1
506	1315	922	521	1316	937	506	1323	946	0
1315	922	521	1316	937	506	1323	946	509	0
922	521	1316	937	506	1323	946	509	1312	1
521	1316	937	506	1323	946	509	1312	937	0
1316	937	506	1323	946	509	1312	937	514	0
937	506	1323	946	509	1312	937	514	1343	1
506	1323	946	509	1312	937	514	1343	918	0
1323	946	509	1312	937	514	1343	918	510	0
946	509	1312	937	514	1343	918	510	1346	1
509	1312	937	514	1343	918	510	1346	961	0
1312	937	514	1343	918	510	1346	961	498	0
937	514	1343	918	510	1346	961	498	1327	1
514	1343	918	510	1346	961	498	1327	953	0
1343	918	510	1346	961	498	1327	953	502	0
918	510	1346	961	498	1327	953	502	1366	1
510	1346	961	498	1327	953	502	1366	938	0
1346	961	498	1327	953	502	1366	938	498	0
961	498	1327	953	502	1366	938	498	1397	1
498	1327	953	502	1366	938	498	1397	976	0
1327	953	502	1366	938	498	1397	976	926	0
953	502	1366	938	498	1397	976	926	950	1
502	1366	938	498	1397	976	926	950	984	0
1366	938	498	1397	976	926	950	984	992	0
938	498	1397	976	926	950	984	992	981	0
498	1397	976	926	950	984	992	981	973	0
1397	976	926	950	984	992	981	973	1000	0
976	926	950	984	992	981	973	1000	502	0
926	950	984	992	981	973	1000	502	1412	0
950	984	992	981	973	1000	502	1412	1004	0
984	992	981	973	1000	502	1412	1004	980	0
992	981	973	1000	502	1412	1004	980	965	1
981	973	1000	502	1412	1004	980	965	934	0
973	1000	502	1412	1004	980	965	934	934	0
1000	502	1412	1004	980	965	934	934	953	0
502	1412	1004	980	965	934	934	953	958	0
1412	1004	980	965	934	934	953	958	509	0
1004	980	965	934	934	953	958	509	1339	0
980	965	934	934	953	958	509	1339	938	0
965	934	934	953	958	509	1339	938	509	0
934	934	953	958	509	1339	938	509	1327	1
934	953	958	509	1339	938	509	1327	950	0
953	958	509	1339	938	509	1327	950	505	0
958	509	1339	938	509	1327	950	505	1320	1
509	1339	938	509	1327	950	505	1320	933	0
1339	938	509	1327	950	505	1320	933	514	0
938	509	1327	950	505	1320	933	514	1268	1
509	1327	950	505	1320	933	514	1268	911	0
1327	950	505	1320	933	514	1268	911	510	0
950	505	1320	933	514	1268	911	510	1202	1
505	1320	933	514	1268	911	510	1202	806	0
1320	933	514	1268	911	510	1202	806	591	0
933	514	1268	911	510	1202	806	591	1144	1
514	1268	911	510	1202	806	591	1144	907	0
1268	911	510	1202	806	591	1144	907	540	0
911	510	1202	806	591	1144	907	540	1277	1
510	1202	806	591	1144	907	540	1277	930	0
1202	806	591	1144	907	540	1277	930	529	0
806	591	1144	907	540	1277	930	529	1327	1
591	1144	907	540	1277	930	529	1327	965	0
1144	907	540	1277	930	529	1327	965	513	0
907	540	1277	930	529	1327	965	513	1370	1
540	1277	930	529	1327	965	513	1370	945	0
1277	930	529	1327	965	513	1370	945	506	0
930	529	1327	965	513	1370	945	506	1405	1
529	1327	965	513	1370	945	506	1405	969	0
1327	965	513	1370	945	506	1405	969	498	0
965	513	1370	945	506	1405	969	498	1393	1
513	1370	945	506	1405	969	498	1393	980	0
1370	945	506	1405	969	498	1393	980	958	0
945	506	1405	969	498	1393	980	958	933	1
506	1405	969	498	1393	980	958	933	965	0
1405	969	498	1393	980	958	933	965	973	0
969	498	1393	980	958	933	965	973	953	0
498	1393	980	958	933	965	973	953	969	0
1393	980	958	933	965	973	953	969	506	0
980	958	933	965	973	953	969	506	1420	0
958	933	965	973	953	969	506	1420	950	0
933	965	973	953	969	506	1420	950	494	0
965	973	953	969	506	1420	950	494	1381	1
973	953	969	506	1420	950	494	1381	961	0
953	969	506	1420	950	494	1381	961	502	0
969	506	1420	950	494	1381	961	502	1323	1
506	1420	950	494	1381	961	502	1323	887	0
1420	950	494	1381	961	502	1323	887	526	0
950	494	1381	961	502	1323	887	526	1194	1
494	1381	961	502	1323	887	526	1194	821	0
1381	961	502	1323	887	526	1194	821	557	0
961	502	1323	887	526	1194	821	557	1218	1
502	1323	887	526	1194	821	557	1218	930	0
1323	887	526	1194	821	557	1218	930	533	0
887	526	1194	821	557	1218	930	533	1280	1
526	1194	821	557	1218	930	533	1280	918	0
1194	821	557	1218	930	533	1280	918	518	0
821	557	1218	930	533	1280	918	518	1276	1
557	1218	930	533	1280	918	518	1276	934	0
1218	930	533	1280	918	518	1276	934	525	0
930	533	1280	918	518	1276	934	525	1226	1
533	1280	918	518	1276	934	525	1226	825	0
1280	918	518	1276	934	525	1226	825	548	0
918	518	1276	934	525	1226	825	548	1031	1
518	1276	934	525	1226	825	548	1031	740	0
1276	934	525	1226	825	548	1031	740	735	0
934	525	1226	825	548	1031	740	735	728	1
525	1226	825	548	1031	740	735	728	720	0
1226	825	548	1031	740	735	728	720	700	0
825	548	1031	740	735	728	720	700	743	0
548	1031	740	735	728	720	700	743	720	0
1031	740	735	728	720	700	743	720	712	0
740	735	728	720	700	743	720	712	708	1
735	728	720	700	743	720	712	708	701	0
728	720	700	743	720	712	708	701	696	0
720	700	743	720	712	708	701	696	697	0
700	743	720	712	708	701	696	697	669	0
743	720	712	708	701	696	697	669	724	0
720	712	708	701	696	697	669	724	696	0
712	708	701	696	697	669	724	696	701	0
708	701	696	697	669	724	696	701	692	1
701	696	697	669	724	696	701	692	693	0
696	697	669	724	696	701	692	693	692	0
697	669	724	696	701	692	693	692	693	0
669	724	696	701	692	693	692	693	696	0
724	696	701	692	693	692	693	696	701	0
696	701	692	693	692	693	696	701	681	0
701	692	693	692	693	696	701	681	731	0
692	693	692	693	696	701	681	731	716	0
693	692	693	696	701	681	731	716	720	0
692	693	696	701	681	731	716	720	739	1
693	696	701	681	731	716	720	739	716	0
696	701	681	731	716	720	739	716	845	0
701	681	731	716	720	739	716	845	813	0
681	731	716	720	739	716	845	813	864	0
731	716	720	739	716	845	813	864	910	1
716	720	739	716	845	813	864	910	985	0
720	739	716	845	813	864	910	985	1011	0
739	716	845	813	864	910	985	1011	907	0
716	845	813	864	910	985	1011	907	693	0
845	813	864	910	985	1011	907	693	1073	0
813	864	910	985	1011	907	693	1073	888	0
864	910	985	1011	907	693	1073	888	926	0
910	985	1011	907	693	1073	888	926	945	1
985	1011	907	693	1073	888	926	945	1004	0
1011	907	693	1073	888	926	945	1004	930	0
907	693	1073	888	926	945	1004	930	580	0
693	1073	888	926	945	1004	930	580	1342	0
1073	888	926	945	1004	930	580	1342	961	0
888	926	945	1004	930	580	1342	961	541	0
926	945	1004	930	580	1342	961	541	1350	1
945	1004	930	580	1342	961	541	1350	958	0
1004	930	580	1342	961	541	1350	958	544	0
930	580	1342	961	541	1350	958	544	1362	1
580	1342	961	541	1350	958	544	1362	946	0
1342	961	541	1350	958	544	1362	946	533	0
961	541	1350	958	544	1362	946	533	1377	1
541	1350	958	544	1362	946	533	1377	950	0
1350	958	544	1362	946	533	1377	950	521	0
958	544	1362	946	533	1377	950	521	1378	1
544	1362	946	533	1377	950	521	1378	961	0
1362	946	533	1377	950	521	1378	961	513	0
946	533	1377	950	521	1378	961	513	1343	1
533	1377	950	521	1378	961	513	1343	984	0
1377	950	521	1378	961	513	1343	984	510	0
950	521	1378	961	513	1343	984	510	1366	1
521	1378	961	513	1343	984	510	1366	949	0
1378	961	513	1343	984	510	1366	949	510	0
961	513	1343	984	510	1366	949	510	1358	1
513	1343	984	510	1366	949	510	1358	996	0
1343	984	510	1366	949	510	1358	996	498	0
984	510	1366	949	510	1358	996	498	1393	1
510	1366	949	510	1358	996	498	1393	984	0
1366	949	510	1358	996	498	1393	984	957	0
949	510	1358	996	498	1393	984	957	965	1
510	1358	996	498	1393	984	957	965	962	0
1358	996	498	1393	984	957	965	962	1007	0
996	498	1393	984	957	965	962	1007	1008	0
498	1393	984	957	965	962	1007	1008	1008	0
1393	984	957	965	962	1007	1008	1008	992	0
984	957	965	962	1007	1008	1008	992	494	0
957	965	962	1007	1008	1008	992	494	1405	0
965	962	1007	1008	1008	992	494	1405	1023	0
962	1007	1008	1008	992	494	1405	1023	950	0
1007	1008	1008	992	494	1405	1023	950	1007	1
1008	1008	992	494	1405	1023	950	1007	965	0
1008	992	494	1405	1023	950	1007	965	938	0
992	494	1405	1023	950	1007	965	938	918	0
494	1405	1023	950	1007	965	938	918	919	0
1405	1023	950	1007	965	938	918	919	502	0
1023	950	1007	965	938	918	919	502	1237	0
950	1007	965	938	918	919	502	1237	907	0
1007	965	938	918	919	502	1237	907	541	0
965	938	918	919	502	1237	907	541	1194	1
938	918	919	502	1237	907	541	1194	883	0
918	919	502	1237	907	541	1194	883	541	0
919	502	1237	907	541	1194	883	541	1265	1
502	1237	907	541	1194	883	541	1265	961	0
1237	907	541	1194	883	541	1265	961	521	0
907	541	1194	883	541	1265	961	521	1386	1
541	1194	883	541	1265	961	521	1386	972	0
1194	883	541	1265	961	521	1386	972	502	0
883	541	1265	961	521	1386	972	502	1409	1
541	1265	961	521	1386	972	502	1409	1046	0
1265	961	521	1386	972	502	1409	1046	1036	0
961	521	1386	972	502	1409	1046	1036	1031	1
521	1386	972	502	1409	1046	1036	1031	1077	0
1386	972	502	1409	1046	1036	1031	1077	1094	0
972	502	1409	1046	1036	1031	1077	1094	1066	0
502	1409	1046	1036	1031	1077	1094	1066	1058	0
1409	1046	1036	1031	1077	1094	1066	1058	584	0
1046	1036	1031	1077	1094	1066	1058	584	1412	0
1036	1031	1077	1094	1066	1058	584	1412	977	0
1031	1077	1094	1066	1058	584	1412	977	915	0
1077	1094	1066	1058	584	1412	977	915	914	1
1094	1066	1058	584	1412	977	915	914	926	0
1066	1058	584	1412	977	915	914	926	502	0
