i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	Filter
942	688	740	502	1000	692	681	685	677	0
688	740	502	1000	692	681	685	677	677	0
740	502	1000	692	681	685	677	677	712	0
502	1000	692	681	685	677	677	712	720	0
1000	692	681	685	677	677	712	720	724	0
692	681	685	677	677	712	720	724	708	0
681	685	677	677	712	720	724	708	739	0
685	677	677	712	720	724	708	739	724	0
677	677	712	720	724	708	739	724	716	0
677	712	720	724	708	739	724	716	724	0
712	720	724	708	739	724	716	724	716	0
720	724	708	739	724	716	724	716	704	0
724	708	739	724	716	724	716	704	720	0
708	739	724	716	724	716	704	720	708	0
739	724	716	724	716	704	720	708	704	0
724	716	724	716	704	720	708	704	716	0
716	724	716	704	720	708	704	716	708	0
724	716	704	720	708	704	716	708	708	0
716	704	720	708	704	716	708	708	709	0
704	720	708	704	716	708	708	709	513	0
720	708	704	716	708	708	709	513	926	0
708	704	716	708	708	709	513	926	708	0
704	716	708	708	709	513	926	708	701	0
716	708	708	709	513	926	708	701	498	1
708	708	709	513	926	708	701	498	930	0
708	709	513	926	708	701	498	930	692	0
709	513	926	708	701	498	930	692	709	0
513	926	708	701	498	930	692	709	712	1
926	708	701	498	930	692	709	712	727	0
708	701	498	930	692	709	712	727	518	0
701	498	930	692	709	712	727	518	965	0
498	930	692	709	712	727	518	965	724	0
930	692	709	712	727	518	965	724	750	0
692	709	712	727	518	965	724	750	736	1
709	712	727	518	965	724	750	736	755	0
712	727	518	965	724	750	736	755	681	0
727	518	965	724	750	736	755	681	665	0
518	965	724	750	736	755	681	665	665	0
965	724	750	736	755	681	665	665	712	0
724	750	736	755	681	665	665	712	771	0
750	736	755	681	665	665	712	771	751	0
736	755	681	665	665	712	771	751	731	0
755	681	665	665	712	771	751	731	728	0
681	665	665	712	771	751	731	728	759	0
665	665	712	771	751	731	728	759	751	0
665	712	771	751	731	728	759	751	751	0
712	771	751	731	728	759	751	751	762	0
771	751	731	728	759	751	751	762	709	0
751	731	728	759	751	751	762	709	537	0
731	728	759	751	751	762	709	537	1007	0
728	759	751	751	762	709	537	1007	794	0
759	751	751	762	709	537	1007	794	732	0
751	751	762	709	537	1007	794	732	754	1
751	762	709	537	1007	794	732	754	736	0
762	709	537	1007	794	732	754	736	669	0
709	537	1007	794	732	754	736	669	669	0
537	1007	794	732	754	736	669	669	666	0
1007	794	732	754	736	669	669	666	852	0
794	732	754	736	669	669	666	852	525	0
732	754	736	669	669	666	852	525	1136	0
754	736	669	669	666	852	525	1136	709	0
736	669	669	666	852	525	1136	709	723	0
669	669	666	852	525	1136	709	723	494	1
669	666	852	525	1136	709	723	494	1160	0
666	852	525	1136	709	723	494	1160	494	0
852	525	1136	709	723	494	1160	494	553	0
525	1136	709	723	494	1160	494	553	836	1
1136	709	723	494	1160	494	553	836	794	0
709	723	494	1160	494	553	836	794	661	1
723	494	1160	494	553	836	794	661	798	1
494	1160	494	553	836	794	661	798	821	0
1160	494	553	836	794	661	798	821	529	0
494	553	836	794	661	798	821	529	1102	0
553	836	794	661	798	821	529	1102	731	0
836	794	661	798	821	529	1102	731	654	0
794	661	798	821	529	1102	731	654	692	1
661	798	821	529	1102	731	654	692	817	0
798	821	529	1102	731	654	692	817	514	0
821	529	1102	731	654	692	817	514	1109	0
529	1102	731	654	692	817	514	1109	778	0
1102	731	654	692	817	514	1109	778	790	0
731	654	692	817	514	1109	778	790	506	1
654	692	817	514	1109	778	790	506	1054	0
692	817	514	1109	778	790	506	1054	689	0
817	514	1109	778	790	506	1054	689	860	0
514	1109	778	790	506	1054	689	860	802	1
1109	778	790	506	1054	689	860	802	825	0
778	790	506	1054	689	860	802	825	832	0
790	506	1054	689	860	802	825	832	868	0
506	1054	689	860	802	825	832	868	883	0
1054	689	860	802	825	832	868	883	697	0
689	860	802	825	832	868	883	697	513	0
860	802	825	832	868	883	697	513	1277	0
802	825	832	868	883	697	513	1277	751	0
825	832	868	883	697	513	1277	751	980	0
832	868	883	697	513	1277	751	980	806	1
868	883	697	513	1277	751	980	806	848	0
883	697	513	1277	751	980	806	848	844	0
697	513	1277	751	980	806	848	844	821	0
513	1277	751	980	806	848	844	821	841	0
1277	751	980	806	848	844	821	841	832	0
751	980	806	848	844	821	841	832	887	0
980	806	848	844	821	841	832	887	915	0
806	848	844	821	841	832	887	915	906	0
848	844	821	841	832	887	915	906	903	0
844	821	841	832	887	915	906	903	883	0
821	841	832	887	915	906	903	883	888	0
841	832	887	915	906	903	883	888	860	0
832	887	915	906	903	883	888	860	852	0
887	915	906	903	883	888	860	852	840	0
915	906	903	883	888	860	852	840	833	0
906	903	883	888	860	852	840	833	770	0
903	883	888	860	852	840	833	770	720	0
883	888	860	852	840	833	770	720	498	0
888	860	852	840	833	770	720	498	1164	0
860	852	840	833	770	720	498	1164	786	0
852	840	833	770	720	498	1164	786	766	0
840	833	770	720	498	1164	786	766	747	1
833	770	720	498	1164	786	766	747	747	0
770	720	498	1164	786	766	747	747	514	0
720	498	1164	786	766	747	747	514	1054	0
498	1164	786	766	747	747	514	1054	786	0
1164	786	766	747	747	514	1054	786	755	0
786	766	747	747	514	1054	786	755	545	1
766	747	747	514	1054	786	755	545	1074	0
747	747	514	1054	786	755	545	1074	817	0
747	514	1054	786	755	545	1074	817	805	0
514	1054	786	755	545	1074	817	805	794	1
1054	786	755	545	1074	817	805	794	813	0
786	755	545	1074	817	805	794	813	771	0
755	545	1074	817	805	794	813	771	712	0
545	1074	817	805	794	813	771	712	517	0
1074	817	805	794	813	771	712	517	1117	0
817	805	794	813	771	712	517	1117	880	0
805	794	813	771	712	517	1117	880	490	0
794	813	771	712	517	1117	880	490	1342	1
813	771	712	517	1117	880	490	1342	880	0
771	712	517	1117	880	490	1342	880	474	0
712	517	1117	880	490	1342	880	474	1016	1
517	1117	880	490	1342	880	474	1016	790	0
1117	880	490	1342	880	474	1016	790	988	0
880	490	1342	880	474	1016	790	988	790	0
490	1342	880	474	1016	790	988	790	704	0
1342	880	474	1016	790	988	790	704	526	0
880	474	1016	790	988	790	704	526	1120	0
474	1016	790	988	790	704	526	1120	708	0
1016	790	988	790	704	526	1120	708	775	0
790	988	790	704	526	1120	708	775	529	1
988	790	704	526	1120	708	775	529	907	0
790	704	526	1120	708	775	529	907	859	0
704	526	1120	708	775	529	907	859	802	0
526	1120	708	775	529	907	859	802	825	1
1120	708	775	529	907	859	802	825	836	0
708	775	529	907	859	802	825	836	814	0
775	529	907	859	802	825	836	814	825	0
529	907	859	802	825	836	814	825	832	0
907	859	802	825	836	814	825	832	810	0
859	802	825	836	814	825	832	810	852	0
802	825	836	814	825	832	810	852	844	0
825	836	814	825	832	810	852	844	817	0
836	814	825	832	810	852	844	817	771	0
814	825	832	810	852	844	817	771	529	0
825	832	810	852	844	817	771	529	1043	0
832	810	852	844	817	771	529	1043	681	0
810	852	844	817	771	529	1043	681	673	0
852	844	817	771	529	1043	681	673	852	1
844	817	771	529	1043	681	673	852	525	0
817	771	529	1043	681	673	852	525	1222	0
771	529	1043	681	673	852	525	1222	942	0
529	1043	681	673	852	525	1222	942	505	0
1043	681	673	852	525	1222	942	505	1222	1
681	673	852	525	1222	942	505	1222	829	0
673	852	525	1222	942	505	1222	829	837	0
852	525	1222	942	505	1222	829	837	824	1
525	1222	942	505	1222	829	837	824	802	0
1222	942	505	1222	829	837	824	802	525	0
942	505	1222	829	837	824	802	525	915	0
505	1222	829	837	824	802	525	915	883	0
1222	829	837	824	802	525	915	883	763	0
829	837	824	802	525	915	883	763	525	1
837	824	802	525	915	883	763	525	1000	0
824	802	525	915	883	763	525	1000	712	0
802	525	915	883	763	525	1000	712	665	0
525	915	883	763	525	1000	712	665	495	1
915	883	763	525	1000	712	665	495	1031	0
883	763	525	1000	712	665	495	1031	642	0
763	525	1000	712	665	495	1031	642	805	0
525	1000	712	665	495	1031	642	805	662	1
1000	712	665	495	1031	642	805	662	805	0
712	665	495	1031	642	805	662	805	521	0
665	495	1031	642	805	662	805	521	872	0
495	1031	642	805	662	805	521	872	809	0
1031	642	805	662	805	521	872	809	689	0
642	805	662	805	521	872	809	689	946	1
805	662	805	521	872	809	689	946	817	0
662	805	521	872	809	689	946	817	766	0
805	521	872	809	689	946	817	766	720	0
521	872	809	689	946	817	766	720	693	0
872	809	689	946	817	766	720	693	681	0
809	689	946	817	766	720	693	681	681	0
689	946	817	766	720	693	681	681	509	0
946	817	766	720	693	681	681	509	794	0
817	766	720	693	681	681	509	794	646	0
766	720	693	681	681	509	794	646	654	0
720	693	681	681	509	794	646	654	646	1
693	681	681	509	794	646	654	646	832	0
681	681	509	794	646	654	646	832	526	0
681	509	794	646	654	646	832	526	1089	0
509	794	646	654	646	832	526	1089	759	0
794	646	654	646	832	526	1089	759	735	0
646	654	646	832	526	1089	759	735	522	1
654	646	832	526	1089	759	735	522	941	0
646	832	526	1089	759	735	522	941	705	0
832	526	1089	759	735	522	941	705	712	0
526	1089	759	735	522	941	705	712	681	1
1089	759	735	522	941	705	712	681	630	0
759	735	522	941	705	712	681	630	751	0
735	522	941	705	712	681	630	751	728	0
522	941	705	712	681	630	751	728	719	0
941	705	712	681	630	751	728	719	705	0
705	712	681	630	751	728	719	705	700	0
712	681	630	751	728	719	705	700	669	0
681	630	751	728	719	705	700	669	685	0
630	751	728	719	705	700	669	685	689	0
751	728	719	705	700	669	685	689	689	0
728	719	705	700	669	685	689	689	688	0
719	705	700	669	685	689	689	688	708	0
705	700	669	685	689	689	688	708	716	0
700	669	685	689	689	688	708	716	689	0
669	685	689	689	688	708	716	689	665	0
685	689	689	688	708	716	689	665	658	0
689	689	688	708	716	689	665	658	751	0
689	688	708	716	689	665	658	751	790	0
688	708	716	689	665	658	751	790	801	0
708	716	689	665	658	751	790	801	720	0
716	689	665	658	751	790	801	720	658	0
689	665	658	751	790	801	720	658	700	0
665	658	751	790	801	720	658	700	806	0
658	751	790	801	720	658	700	806	525	0
751	790	801	720	658	700	806	525	1261	0
790	801	720	658	700	806	525	1261	797	0
801	720	658	700	806	525	1261	797	806	0
720	658	700	806	525	1261	797	806	517	1
658	700	806	525	1261	797	806	517	1203	0
700	806	525	1261	797	806	517	1203	860	0
806	525	1261	797	806	517	1203	860	486	0
525	1261	797	806	517	1203	860	486	895	1
1261	797	806	517	1203	860	486	895	669	0
797	806	517	1203	860	486	895	669	724	0
806	517	1203	860	486	895	669	724	514	1
517	1203	860	486	895	669	724	514	1144	0
1203	860	486	895	669	724	514	1144	727	0
860	486	895	669	724	514	1144	727	720	0
486	895	669	724	514	1144	727	720	860	1
895	669	724	514	1144	727	720	860	696	0
669	724	514	1144	727	720	860	696	697	0
724	514	1144	727	720	860	696	697	716	0
514	1144	727	720	860	696	697	716	871	0
1144	727	720	860	696	697	716	871	818	0
727	720	860	696	697	716	871	818	743	0
720	860	696	697	716	871	818	743	525	0
860	696	697	716	871	818	743	525	1319	0
696	697	716	871	818	743	525	1319	833	0
697	716	871	818	743	525	1319	833	844	0
716	871	818	743	525	1319	833	844	845	1
871	818	743	525	1319	833	844	845	758	0
818	743	525	1319	833	844	845	758	747	0
743	525	1319	833	844	845	758	747	891	0
525	1319	833	844	845	758	747	891	821	0
1319	833	844	845	758	747	891	821	818	0
833	844	845	758	747	891	821	818	789	0
844	845	758	747	891	821	818	789	720	0
845	758	747	891	821	818	789	720	537	0
758	747	891	821	818	789	720	537	876	0
747	891	821	818	789	720	537	876	692	0
891	821	818	789	720	537	876	692	852	0
821	818	789	720	537	876	692	852	798	1
818	789	720	537	876	692	852	798	778	0
789	720	537	876	692	852	798	778	740	0
720	537	876	692	852	798	778	740	700	0
537	876	692	852	798	778	740	700	533	0
876	692	852	798	778	740	700	533	1191	0
692	852	798	778	740	700	533	1191	731	0
852	798	778	740	700	533	1191	731	891	0
798	778	740	700	533	1191	731	891	689	1
778	740	700	533	1191	731	891	689	665	0
740	700	533	1191	731	891	689	665	677	0
700	533	1191	731	891	689	665	677	670	0
533	1191	731	891	689	665	677	670	759	0
1191	731	891	689	665	677	670	759	529	0
731	891	689	665	677	670	759	529	1221	0
891	689	665	677	670	759	529	1221	779	0
689	665	677	670	759	529	1221	779	949	0
665	677	670	759	529	1221	779	949	763	1
677	670	759	529	1221	779	949	763	731	0
670	759	529	1221	779	949	763	731	510	0
759	529	1221	779	949	763	731	510	1089	0
529	1221	779	949	763	731	510	1089	825	0
1221	779	949	763	731	510	1089	825	786	0
779	949	763	731	510	1089	825	786	802	1
949	763	731	510	1089	825	786	802	739	0
763	731	510	1089	825	786	802	739	526	0
731	510	1089	825	786	802	739	526	813	0
510	1089	825	786	802	739	526	813	661	0
1089	825	786	802	739	526	813	661	693	0
825	786	802	739	526	813	661	693	490	1
786	802	739	526	813	661	693	490	1082	0
802	739	526	813	661	693	490	1082	782	0
739	526	813	661	693	490	1082	782	774	0
526	813	661	693	490	1082	782	774	747	1
813	661	693	490	1082	782	774	747	744	0
661	693	490	1082	782	774	747	744	529	0
693	490	1082	782	774	747	744	529	813	0
490	1082	782	774	747	744	529	813	646	0
1082	782	774	747	744	529	813	646	677	0
782	774	747	744	529	813	646	677	498	1
774	747	744	529	813	646	677	498	1012	0
747	744	529	813	646	677	498	1012	754	0
744	529	813	646	677	498	1012	754	709	0
529	813	646	677	498	1012	754	709	533	1
813	646	677	498	1012	754	709	533	961	0
646	677	498	1012	754	709	533	961	677	0
677	498	1012	754	709	533	961	677	626	0
498	1012	754	709	533	961	677	626	514	1
1012	754	709	533	961	677	626	514	731	0
754	709	533	961	677	626	514	731	607	0
709	533	961	677	626	514	731	607	666	0
533	961	677	626	514	731	607	666	708	1
961	677	626	514	731	607	666	708	770	0
677	626	514	731	607	666	708	770	767	0
626	514	731	607	666	708	770	767	716	0
514	731	607	666	708	770	767	716	766	0
731	607	666	708	770	767	716	766	810	0
607	666	708	770	767	716	766	810	673	0
666	708	770	767	716	766	810	673	517	0
708	770	767	716	766	810	673	517	895	0
770	767	716	766	810	673	517	895	709	0
767	716	766	810	673	517	895	709	856	0
716	766	810	673	517	895	709	856	774	1
766	810	673	517	895	709	856	774	755	0
810	673	517	895	709	856	774	755	848	0
673	517	895	709	856	774	755	848	700	0
517	895	709	856	774	755	848	700	518	0
895	709	856	774	755	848	700	518	1051	0
709	856	774	755	848	700	518	1051	789	0
856	774	755	848	700	518	1051	789	744	0
774	755	848	700	518	1051	789	744	517	1
755	848	700	518	1051	789	744	517	1055	0
848	700	518	1051	789	744	517	1055	723	0
700	518	1051	789	744	517	1055	723	701	0
518	1051	789	744	517	1055	723	701	498	1
1051	789	744	517	1055	723	701	498	1132	0
789	744	517	1055	723	701	498	1132	712	0
744	517	1055	723	701	498	1132	712	813	0
517	1055	723	701	498	1132	712	813	526	1
1055	723	701	498	1132	712	813	526	961	0
723	701	498	1132	712	813	526	961	774	0
701	498	1132	712	813	526	961	774	770	0
498	1132	712	813	526	961	774	770	518	1
1132	712	813	526	961	774	770	518	1031	0
712	813	526	961	774	770	518	1031	654	0
813	526	961	774	770	518	1031	654	576	0
526	961	774	770	518	1031	654	576	587	1
961	774	770	518	1031	654	576	587	627	0
774	770	518	1031	654	576	587	627	646	0
770	518	1031	654	576	587	627	646	688	0
518	1031	654	576	587	627	646	688	681	0
1031	654	576	587	627	646	688	681	755	0
654	576	587	627	646	688	681	755	809	0
576	587	627	646	688	681	755	809	779	0
587	627	646	688	681	755	809	779	762	0
627	646	688	681	755	809	779	762	720	0
646	688	681	755	809	779	762	720	654	0
688	681	755	809	779	762	720	654	774	0
681	755	809	779	762	720	654	774	767	0
755	809	779	762	720	654	774	767	735	0
809	779	762	720	654	774	767	735	736	0
779	762	720	654	774	767	735	736	750	0
762	720	654	774	767	735	736	750	771	0
720	654	774	767	735	736	750	771	669	0
654	774	767	735	736	750	771	669	654	0
774	767	735	736	750	771	669	654	677	0
767	735	736	750	771	669	654	677	696	0
735	736	750	771	669	654	677	696	821	0
736	750	771	669	654	677	696	821	530	0
750	771	669	654	677	696	821	530	1066	0
771	669	654	677	696	821	530	1066	708	0
669	654	677	696	821	530	1066	708	650	0
654	677	696	821	530	1066	708	650	642	1
677	696	821	530	1066	708	650	642	661	0
696	821	530	1066	708	650	642	661	701	0
821	530	1066	708	650	642	661	701	762	0
530	1066	708	650	642	661	701	762	522	0
1066	708	650	642	661	701	762	522	1027	0
708	650	642	661	701	762	522	1027	747	0
650	642	661	701	762	522	1027	747	735	0
642	661	701	762	522	1027	747	735	728	1
661	701	762	522	1027	747	735	728	510	0
701	762	522	1027	747	735	728	510	891	0
762	522	1027	747	735	728	510	891	607	0
522	1027	747	735	728	510	891	607	622	0
1027	747	735	728	510	891	607	622	627	1
747	735	728	510	891	607	622	627	502	0
735	728	510	891	607	622	627	502	1050	0
728	510	891	607	622	627	502	1050	720	0
510	891	607	622	627	502	1050	720	732	0
891	607	622	627	502	1050	720	732	712	1
607	622	627	502	1050	720	732	712	731	0
622	627	502	1050	720	732	712	731	662	0
627	502	1050	720	732	712	731	662	622	0
502	1050	720	732	712	731	662	622	646	0
1050	720	732	712	731	662	622	646	514	0
720	732	712	731	662	622	646	514	988	0
732	712	731	662	622	646	514	988	767	0
712	731	662	622	646	514	988	767	770	0
731	662	622	646	514	988	767	770	763	1
