i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter
537	1257	887	517	1273	910	529	1284	930	506	1346	0
1257	887	517	1273	910	529	1284	930	506	1346	950	1
887	517	1273	910	529	1284	930	506	1346	950	502	0
517	1273	910	529	1284	930	506	1346	950	502	1354	0
1273	910	529	1284	930	506	1346	950	502	1354	953	1
910	529	1284	930	506	1346	950	502	1354	953	502	0
529	1284	930	506	1346	950	502	1354	953	502	1339	0
1284	930	506	1346	950	502	1354	953	502	1339	941	1
930	506	1346	950	502	1354	953	502	1339	941	502	0
506	1346	950	502	1354	953	502	1339	941	502	1288	0
1346	950	502	1354	953	502	1339	941	502	1288	907	1
950	502	1354	953	502	1339	941	502	1288	907	517	0
502	1354	953	502	1339	941	502	1288	907	517	1273	0
1354	953	502	1339	941	502	1288	907	517	1273	910	1
953	502	1339	941	502	1288	907	517	1273	910	502	0
502	1339	941	502	1288	907	517	1273	910	502	1284	0
1339	941	502	1288	907	517	1273	910	502	1284	876	1
941	502	1288	907	517	1273	910	502	1284	876	521	0
502	1288	907	517	1273	910	502	1284	876	521	1237	0
1288	907	517	1273	910	502	1284	876	521	1237	903	1
907	517	1273	910	502	1284	876	521	1237	903	518	0
517	1273	910	502	1284	876	521	1237	903	518	1264	0
1273	910	502	1284	876	521	1237	903	518	1264	915	1
910	502	1284	876	521	1237	903	518	1264	915	521	0
502	1284	876	521	1237	903	518	1264	915	521	1300	0
1284	876	521	1237	903	518	1264	915	521	1300	910	1
876	521	1237	903	518	1264	915	521	1300	910	514	0
521	1237	903	518	1264	915	521	1300	910	514	1315	0
1237	903	518	1264	915	521	1300	910	514	1315	926	1
903	518	1264	915	521	1300	910	514	1315	926	498	0
518	1264	915	521	1300	910	514	1315	926	498	1335	0
1264	915	521	1300	910	514	1315	926	498	1335	949	1
915	521	1300	910	514	1315	926	498	1335	949	506	0
521	1300	910	514	1315	926	498	1335	949	506	1346	0
1300	910	514	1315	926	498	1335	949	506	1346	915	1
910	514	1315	926	498	1335	949	506	1346	915	509	0
514	1315	926	498	1335	949	506	1346	915	509	1327	0
1315	926	498	1335	949	506	1346	915	509	1327	934	1
926	498	1335	949	506	1346	915	509	1327	934	510	0
498	1335	949	506	1346	915	509	1327	934	510	1288	0
1335	949	506	1346	915	509	1327	934	510	1288	926	1
949	506	1346	915	509	1327	934	510	1288	926	498	0
506	1346	915	509	1327	934	510	1288	926	498	1288	0
1346	915	509	1327	934	510	1288	926	498	1288	914	1
915	509	1327	934	510	1288	926	498	1288	914	514	0
509	1327	934	510	1288	926	498	1288	914	514	1288	0
1327	934	510	1288	926	498	1288	914	514	1288	926	1
934	510	1288	926	498	1288	914	514	1288	926	517	0
510	1288	926	498	1288	914	514	1288	926	517	1296	0
1288	926	498	1288	914	514	1288	926	517	1296	938	1
926	498	1288	914	514	1288	926	517	1296	938	502	0
498	1288	914	514	1288	926	517	1296	938	502	1350	0
1288	914	514	1288	926	517	1296	938	502	1350	957	1
914	514	1288	926	517	1296	938	502	1350	957	498	0
514	1288	926	517	1296	938	502	1350	957	498	1374	0
1288	926	517	1296	938	502	1350	957	498	1374	953	1
926	517	1296	938	502	1350	957	498	1374	953	930	0
517	1296	938	502	1350	957	498	1374	953	930	922	0
1296	938	502	1350	957	498	1374	953	930	922	922	1
938	502	1350	957	498	1374	953	930	922	922	502	0
502	1350	957	498	1374	953	930	922	922	502	1339	0
1350	957	498	1374	953	930	922	922	502	1339	934	0
957	498	1374	953	930	922	922	502	1339	934	506	0
498	1374	953	930	922	922	502	1339	934	506	1299	0
1374	953	930	922	922	502	1339	934	506	1299	930	1
953	930	922	922	502	1339	934	506	1299	930	514	0
930	922	922	502	1339	934	506	1299	930	514	1280	0
922	922	502	1339	934	506	1299	930	514	1280	922	1
922	502	1339	934	506	1299	930	514	1280	922	518	0
502	1339	934	506	1299	930	514	1280	922	518	1311	0
1339	934	506	1299	930	514	1280	922	518	1311	926	1
934	506	1299	930	514	1280	922	518	1311	926	514	0
506	1299	930	514	1280	922	518	1311	926	514	1334	0
1299	930	514	1280	922	518	1311	926	514	1334	950	1
930	514	1280	922	518	1311	926	514	1334	950	498	0
514	1280	922	518	1311	926	514	1334	950	498	1311	0
1280	922	518	1311	926	514	1334	950	498	1311	938	1
922	518	1311	926	514	1334	950	498	1311	938	509	0
518	1311	926	514	1334	950	498	1311	938	509	1319	0
1311	926	514	1334	950	498	1311	938	509	1319	919	1
926	514	1334	950	498	1311	938	509	1319	919	506	0
514	1334	950	498	1311	938	509	1319	919	506	1350	0
1334	950	498	1311	938	509	1319	919	506	1350	949	1
950	498	1311	938	509	1319	919	506	1350	949	498	0
498	1311	938	509	1319	919	506	1350	949	498	1331	0
1311	938	509	1319	919	506	1350	949	498	1331	953	1
938	509	1319	919	506	1350	949	498	1331	953	502	0
509	1319	919	506	1350	949	498	1331	953	502	1347	0
1319	919	506	1350	949	498	1331	953	502	1347	945	1
919	506	1350	949	498	1331	953	502	1347	945	494	0
506	1350	949	498	1331	953	502	1347	945	494	1366	0
1350	949	498	1331	953	502	1347	945	494	1366	938	1
949	498	1331	953	502	1347	945	494	1366	938	922	0
498	1331	953	502	1347	945	494	1366	938	922	961	0
1331	953	502	1347	945	494	1366	938	922	961	965	1
953	502	1347	945	494	1366	938	922	961	965	949	0
502	1347	945	494	1366	938	922	961	965	949	950	0
1347	945	494	1366	938	922	961	965	949	950	984	0
945	494	1366	938	922	961	965	949	950	984	502	0
494	1366	938	922	961	965	949	950	984	502	1459	0
1366	938	922	961	965	949	950	984	502	1459	973	0
938	922	961	965	949	950	984	502	1459	973	961	0
922	961	965	949	950	984	502	1459	973	961	977	0
961	965	949	950	984	502	1459	973	961	977	973	1
965	949	950	984	502	1459	973	961	977	973	961	0
949	950	984	502	1459	973	961	977	973	961	961	0
950	984	502	1459	973	961	977	973	961	961	945	0
984	502	1459	973	961	977	973	961	961	945	479	0
502	1459	973	961	977	973	961	961	945	479	1420	0
1459	973	961	977	973	961	961	945	479	1420	1016	0
973	961	977	973	961	961	945	479	1420	1016	969	0
961	977	973	961	961	945	479	1420	1016	969	972	1
977	973	961	961	945	479	1420	1016	969	972	930	1
973	961	961	945	479	1420	1016	969	972	930	934	0
961	961	945	479	1420	1016	969	972	930	934	953	0
961	945	479	1420	1016	969	972	930	934	953	954	0
945	479	1420	1016	969	972	930	934	953	954	506	0
479	1420	1016	969	972	930	934	953	954	506	1326	0
1420	1016	969	972	930	934	953	954	506	1326	930	0
1016	969	972	930	934	953	954	506	1326	930	510	0
969	972	930	934	953	954	506	1326	930	510	1273	0
972	930	934	953	954	506	1326	930	510	1273	894	1
930	934	953	954	506	1326	930	510	1273	894	510	0
934	953	954	506	1326	930	510	1273	894	510	1284	0
953	954	506	1326	930	510	1273	894	510	1284	911	1
954	506	1326	930	510	1273	894	510	1284	911	517	0
506	1326	930	510	1273	894	510	1284	911	517	1308	0
1326	930	510	1273	894	510	1284	911	517	1308	934	1
930	510	1273	894	510	1284	911	517	1308	934	513	0
510	1273	894	510	1284	911	517	1308	934	513	1335	0
1273	894	510	1284	911	517	1308	934	513	1335	961	1
894	510	1284	911	517	1308	934	513	1335	961	510	0
510	1284	911	517	1308	934	513	1335	961	510	1369	0
1284	911	517	1308	934	513	1335	961	510	1369	934	1
911	517	1308	934	513	1335	961	510	1369	934	502	0
517	1308	934	513	1335	961	510	1369	934	502	1401	0
1308	934	513	1335	961	510	1369	934	502	1401	949	1
934	513	1335	961	510	1369	934	502	1401	949	926	0
513	1335	961	510	1369	934	502	1401	949	926	946	0
1335	961	510	1369	934	502	1401	949	926	946	969	1
961	510	1369	934	502	1401	949	926	946	969	957	0
510	1369	934	502	1401	949	926	946	969	957	942	0
1369	934	502	1401	949	926	946	969	957	942	926	0
934	502	1401	949	926	946	969	957	942	926	509	0
502	1401	949	926	946	969	957	942	926	509	1323	0
1401	949	926	946	969	957	942	926	509	1323	884	0
949	926	946	969	957	942	926	509	1323	884	517	0
926	946	969	957	942	926	509	1323	884	517	1199	0
946	969	957	942	926	509	1323	884	517	1199	848	1
969	957	942	926	509	1323	884	517	1199	848	544	0
957	942	926	509	1323	884	517	1199	848	544	1250	0
942	926	509	1323	884	517	1199	848	544	1250	972	1
926	509	1323	884	517	1199	848	544	1250	972	522	0
509	1323	884	517	1199	848	544	1250	972	522	1307	0
1323	884	517	1199	848	544	1250	972	522	1307	934	1
884	517	1199	848	544	1250	972	522	1307	934	510	0
517	1199	848	544	1250	972	522	1307	934	510	1342	0
1199	848	544	1250	972	522	1307	934	510	1342	969	1
848	544	1250	972	522	1307	934	510	1342	969	502	0
544	1250	972	522	1307	934	510	1342	969	502	1354	0
1250	972	522	1307	934	510	1342	969	502	1354	965	1
972	522	1307	934	510	1342	969	502	1354	965	506	0
522	1307	934	510	1342	969	502	1354	965	506	1358	0
1307	934	510	1342	969	502	1354	965	506	1358	945	1
934	510	1342	969	502	1354	965	506	1358	945	506	0
510	1342	969	502	1354	965	506	1358	945	506	1374	0
1342	969	502	1354	965	506	1358	945	506	1374	937	1
969	502	1354	965	506	1358	945	506	1374	937	498	0
502	1354	965	506	1358	945	506	1374	937	498	1374	0
1354	965	506	1358	945	506	1374	937	498	1374	953	1
965	506	1358	945	506	1374	937	498	1374	953	502	0
506	1358	945	506	1374	937	498	1374	953	502	1343	0
1358	945	506	1374	937	498	1374	953	502	1343	941	1
945	506	1374	937	498	1374	953	502	1343	941	502	0
506	1374	937	498	1374	953	502	1343	941	502	1362	0
1374	937	498	1374	953	502	1343	941	502	1362	934	1
937	498	1374	953	502	1343	941	502	1362	934	498	0
498	1374	953	502	1343	941	502	1362	934	498	1397	0
1374	953	502	1343	941	502	1362	934	498	1397	973	1
953	502	1343	941	502	1362	934	498	1397	973	934	0
502	1343	941	502	1362	934	498	1397	973	934	945	0
1343	941	502	1362	934	498	1397	973	934	945	965	1
941	502	1362	934	498	1397	973	934	945	965	965	0
502	1362	934	498	1397	973	934	945	965	965	957	0
1362	934	498	1397	973	934	945	965	965	957	934	0
934	498	1397	973	934	945	965	965	957	934	502	0
498	1397	973	934	945	965	965	957	934	502	1397	0
1397	973	934	945	965	965	957	934	502	1397	973	0
973	934	945	965	965	957	934	502	1397	973	937	0
934	945	965	965	957	934	502	1397	973	937	934	0
945	965	965	957	934	502	1397	973	937	934	961	1
965	965	957	934	502	1397	973	937	934	961	498	0
965	957	934	502	1397	973	937	934	961	498	1382	0
957	934	502	1397	973	937	934	961	498	1382	934	0
934	502	1397	973	937	934	961	498	1382	934	502	0
502	1397	973	937	934	961	498	1382	934	502	1389	0
1397	973	937	934	961	498	1382	934	502	1389	965	1
973	937	934	961	498	1382	934	502	1389	965	922	0
937	934	961	498	1382	934	502	1389	965	922	934	0
934	961	498	1382	934	502	1389	965	922	934	972	1
961	498	1382	934	502	1389	965	922	934	972	961	0
498	1382	934	502	1389	965	922	934	972	961	930	0
1382	934	502	1389	965	922	934	972	961	930	965	0
934	502	1389	965	922	934	972	961	930	965	510	0
502	1389	965	922	934	972	961	930	965	510	1405	0
1389	965	922	934	972	961	930	965	510	1405	957	0
965	922	934	972	961	930	965	510	1405	957	498	0
922	934	972	961	930	965	510	1405	957	498	1420	0
934	972	961	930	965	510	1405	957	498	1420	989	1
972	961	930	965	510	1405	957	498	1420	989	930	0
961	930	965	510	1405	957	498	1420	989	930	933	0
930	965	510	1405	957	498	1420	989	930	933	977	1
965	510	1405	957	498	1420	989	930	933	977	953	0
510	1405	957	498	1420	989	930	933	977	953	934	0
1405	957	498	1420	989	930	933	977	953	934	942	0
957	498	1420	989	930	933	977	953	934	942	514	0
498	1420	989	930	933	977	953	934	942	514	1400	0
1420	989	930	933	977	953	934	942	514	1400	950	0
989	930	933	977	953	934	942	514	1400	950	502	0
930	933	977	953	934	942	514	1400	950	502	1342	0
933	977	953	934	942	514	1400	950	502	1342	946	1
977	953	934	942	514	1400	950	502	1342	946	509	0
953	934	942	514	1400	950	502	1342	946	509	1331	0
934	942	514	1400	950	502	1342	946	509	1331	934	1
942	514	1400	950	502	1342	946	509	1331	934	510	0
514	1400	950	502	1342	946	509	1331	934	510	1342	0
1400	950	502	1342	946	509	1331	934	510	1342	953	1
950	502	1342	946	509	1331	934	510	1342	953	502	0
502	1342	946	509	1331	934	510	1342	953	502	1312	0
1342	946	509	1331	934	510	1342	953	502	1312	945	1
946	509	1331	934	510	1342	953	502	1312	945	506	0
509	1331	934	510	1342	953	502	1312	945	506	1335	0
1331	934	510	1342	953	502	1312	945	506	1335	933	1
934	510	1342	953	502	1312	945	506	1335	933	502	0
510	1342	953	502	1312	945	506	1335	933	502	1351	0
1342	953	502	1312	945	506	1335	933	502	1351	957	1
953	502	1312	945	506	1335	933	502	1351	957	498	0
502	1312	945	506	1335	933	502	1351	957	498	1338	0
1312	945	506	1335	933	502	1351	957	498	1338	942	1
945	506	1335	933	502	1351	957	498	1338	942	502	0
506	1335	933	502	1351	957	498	1338	942	502	1307	0
1335	933	502	1351	957	498	1338	942	502	1307	923	1
933	502	1351	957	498	1338	942	502	1307	923	509	0
502	1351	957	498	1338	942	502	1307	923	509	1284	0
1351	957	498	1338	942	502	1307	923	509	1284	915	1
957	498	1338	942	502	1307	923	509	1284	915	498	0
498	1338	942	502	1307	923	509	1284	915	498	1311	0
1338	942	502	1307	923	509	1284	915	498	1311	922	1
942	502	1307	923	509	1284	915	498	1311	922	506	0
502	1307	923	509	1284	915	498	1311	922	506	1269	0
1307	923	509	1284	915	498	1311	922	506	1269	898	1
923	509	1284	915	498	1311	922	506	1269	898	506	0
509	1284	915	498	1311	922	506	1269	898	506	1276	0
1284	915	498	1311	922	506	1269	898	506	1276	899	1
915	498	1311	922	506	1269	898	506	1276	899	522	0
498	1311	922	506	1269	898	506	1276	899	522	1284	0
1311	922	506	1269	898	506	1276	899	522	1284	906	1
922	506	1269	898	506	1276	899	522	1284	906	522	0
506	1269	898	506	1276	899	522	1284	906	522	1257	0
1269	898	506	1276	899	522	1284	906	522	1257	894	1
898	506	1276	899	522	1284	906	522	1257	894	510	0
506	1276	899	522	1284	906	522	1257	894	510	1214	0
1276	899	522	1284	906	522	1257	894	510	1214	837	1
899	522	1284	906	522	1257	894	510	1214	837	556	0
522	1284	906	522	1257	894	510	1214	837	556	1152	0
1284	906	522	1257	894	510	1214	837	556	1152	848	1
906	522	1257	894	510	1214	837	556	1152	848	564	0
522	1257	894	510	1214	837	556	1152	848	564	1218	0
1257	894	510	1214	837	556	1152	848	564	1218	884	1
894	510	1214	837	556	1152	848	564	1218	884	556	0
510	1214	837	556	1152	848	564	1218	884	556	1253	0
1214	837	556	1152	848	564	1218	884	556	1253	914	1
837	556	1152	848	564	1218	884	556	1253	914	518	0
556	1152	848	564	1218	884	556	1253	914	518	1284	0
1152	848	564	1218	884	556	1253	914	518	1284	903	1
848	564	1218	884	556	1253	914	518	1284	903	533	0
564	1218	884	556	1253	914	518	1284	903	533	1260	0
1218	884	556	1253	914	518	1284	903	533	1260	895	1
884	556	1253	914	518	1284	903	533	1260	895	522	0
556	1253	914	518	1284	903	533	1260	895	522	1276	0
1253	914	518	1284	903	533	1260	895	522	1276	911	1
914	518	1284	903	533	1260	895	522	1276	911	529	0
518	1284	903	533	1260	895	522	1276	911	529	1303	0
1284	903	533	1260	895	522	1276	911	529	1303	926	1
903	533	1260	895	522	1276	911	529	1303	926	522	0
533	1260	895	522	1276	911	529	1303	926	522	1315	0
1260	895	522	1276	911	529	1303	926	522	1315	926	1
895	522	1276	911	529	1303	926	522	1315	926	506	0
522	1276	911	529	1303	926	522	1315	926	506	1315	0
1276	911	529	1303	926	522	1315	926	506	1315	922	1
911	529	1303	926	522	1315	926	506	1315	922	521	0
529	1303	926	522	1315	926	506	1315	922	521	1316	0
1303	926	522	1315	926	506	1315	922	521	1316	937	1
926	522	1315	926	506	1315	922	521	1316	937	506	0
522	1315	926	506	1315	922	521	1316	937	506	1323	0
1315	926	506	1315	922	521	1316	937	506	1323	946	1
926	506	1315	922	521	1316	937	506	1323	946	509	0
506	1315	922	521	1316	937	506	1323	946	509	1312	0
1315	922	521	1316	937	506	1323	946	509	1312	937	1
922	521	1316	937	506	1323	946	509	1312	937	514	0
521	1316	937	506	1323	946	509	1312	937	514	1343	0
1316	937	506	1323	946	509	1312	937	514	1343	918	1
937	506	1323	946	509	1312	937	514	1343	918	510	0
506	1323	946	509	1312	937	514	1343	918	510	1346	0
1323	946	509	1312	937	514	1343	918	510	1346	961	1
946	509	1312	937	514	1343	918	510	1346	961	498	0
509	1312	937	514	1343	918	510	1346	961	498	1327	0
1312	937	514	1343	918	510	1346	961	498	1327	953	1
937	514	1343	918	510	1346	961	498	1327	953	502	0
514	1343	918	510	1346	961	498	1327	953	502	1366	0
1343	918	510	1346	961	498	1327	953	502	1366	938	1
918	510	1346	961	498	1327	953	502	1366	938	498	0
510	1346	961	498	1327	953	502	1366	938	498	1397	0
1346	961	498	1327	953	502	1366	938	498	1397	976	1
961	498	1327	953	502	1366	938	498	1397	976	926	0
498	1327	953	502	1366	938	498	1397	976	926	950	0
1327	953	502	1366	938	498	1397	976	926	950	984	1
953	502	1366	938	498	1397	976	926	950	984	992	0
502	1366	938	498	1397	976	926	950	984	992	981	0
1366	938	498	1397	976	926	950	984	992	981	973	0
938	498	1397	976	926	950	984	992	981	973	1000	0
498	1397	976	926	950	984	992	981	973	1000	502	0
1397	976	926	950	984	992	981	973	1000	502	1412	0
976	926	950	984	992	981	973	1000	502	1412	1004	0
926	950	984	992	981	973	1000	502	1412	1004	980	0
950	984	992	981	973	1000	502	1412	1004	980	965	0
984	992	981	973	1000	502	1412	1004	980	965	934	1
992	981	973	1000	502	1412	1004	980	965	934	934	0
981	973	1000	502	1412	1004	980	965	934	934	953	0
973	1000	502	1412	1004	980	965	934	934	953	958	0
1000	502	1412	1004	980	965	934	934	953	958	509	0
502	1412	1004	980	965	934	934	953	958	509	1339	0
1412	1004	980	965	934	934	953	958	509	1339	938	0
1004	980	965	934	934	953	958	509	1339	938	509	0
980	965	934	934	953	958	509	1339	938	509	1327	0
965	934	934	953	958	509	1339	938	509	1327	950	1
934	934	953	958	509	1339	938	509	1327	950	505	0
934	953	958	509	1339	938	509	1327	950	505	1320	0
953	958	509	1339	938	509	1327	950	505	1320	933	1
958	509	1339	938	509	1327	950	505	1320	933	514	0
509	1339	938	509	1327	950	505	1320	933	514	1268	0
1339	938	509	1327	950	505	1320	933	514	1268	911	1
938	509	1327	950	505	1320	933	514	1268	911	510	0
509	1327	950	505	1320	933	514	1268	911	510	1202	0
1327	950	505	1320	933	514	1268	911	510	1202	806	1
950	505	1320	933	514	1268	911	510	1202	806	591	0
505	1320	933	514	1268	911	510	1202	806	591	1144	0
1320	933	514	1268	911	510	1202	806	591	1144	907	1
933	514	1268	911	510	1202	806	591	1144	907	540	0
514	1268	911	510	1202	806	591	1144	907	540	1277	0
1268	911	510	1202	806	591	1144	907	540	1277	930	1
911	510	1202	806	591	1144	907	540	1277	930	529	0
510	1202	806	591	1144	907	540	1277	930	529	1327	0
1202	806	591	1144	907	540	1277	930	529	1327	965	1
806	591	1144	907	540	1277	930	529	1327	965	513	0
591	1144	907	540	1277	930	529	1327	965	513	1370	0
1144	907	540	1277	930	529	1327	965	513	1370	945	1
907	540	1277	930	529	1327	965	513	1370	945	506	0
540	1277	930	529	1327	965	513	1370	945	506	1405	0
1277	930	529	1327	965	513	1370	945	506	1405	969	1
930	529	1327	965	513	1370	945	506	1405	969	498	0
529	1327	965	513	1370	945	506	1405	969	498	1393	0
1327	965	513	1370	945	506	1405	969	498	1393	980	1
965	513	1370	945	506	1405	969	498	1393	980	958	0
513	1370	945	506	1405	969	498	1393	980	958	933	0
1370	945	506	1405	969	498	1393	980	958	933	965	1
945	506	1405	969	498	1393	980	958	933	965	973	0
506	1405	969	498	1393	980	958	933	965	973	953	0
1405	969	498	1393	980	958	933	965	973	953	969	0
969	498	1393	980	958	933	965	973	953	969	506	0
498	1393	980	958	933	965	973	953	969	506	1420	0
1393	980	958	933	965	973	953	969	506	1420	950	0
980	958	933	965	973	953	969	506	1420	950	494	0
958	933	965	973	953	969	506	1420	950	494	1381	0
933	965	973	953	969	506	1420	950	494	1381	961	1
965	973	953	969	506	1420	950	494	1381	961	502	0
973	953	969	506	1420	950	494	1381	961	502	1323	0
953	969	506	1420	950	494	1381	961	502	1323	887	1
969	506	1420	950	494	1381	961	502	1323	887	526	0
506	1420	950	494	1381	961	502	1323	887	526	1194	0
1420	950	494	1381	961	502	1323	887	526	1194	821	1
950	494	1381	961	502	1323	887	526	1194	821	557	0
494	1381	961	502	1323	887	526	1194	821	557	1218	0
1381	961	502	1323	887	526	1194	821	557	1218	930	1
961	502	1323	887	526	1194	821	557	1218	930	533	0
502	1323	887	526	1194	821	557	1218	930	533	1280	0
1323	887	526	1194	821	557	1218	930	533	1280	918	1
887	526	1194	821	557	1218	930	533	1280	918	518	0
526	1194	821	557	1218	930	533	1280	918	518	1276	0
1194	821	557	1218	930	533	1280	918	518	1276	934	1
821	557	1218	930	533	1280	918	518	1276	934	525	0
557	1218	930	533	1280	918	518	1276	934	525	1226	0
1218	930	533	1280	918	518	1276	934	525	1226	825	1
930	533	1280	918	518	1276	934	525	1226	825	548	0
533	1280	918	518	1276	934	525	1226	825	548	1031	0
1280	918	518	1276	934	525	1226	825	548	1031	740	1
918	518	1276	934	525	1226	825	548	1031	740	735	0
518	1276	934	525	1226	825	548	1031	740	735	728	0
1276	934	525	1226	825	548	1031	740	735	728	720	1
934	525	1226	825	548	1031	740	735	728	720	700	0
525	1226	825	548	1031	740	735	728	720	700	743	0
1226	825	548	1031	740	735	728	720	700	743	720	0
825	548	1031	740	735	728	720	700	743	720	712	0
548	1031	740	735	728	720	700	743	720	712	708	0
1031	740	735	728	720	700	743	720	712	708	701	1
740	735	728	720	700	743	720	712	708	701	696	0
