Correlation for file  I01_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.2",0.0596469773846688,0.0932931585105785,0.371424020833674,1,0.370842706167011,0.0943291938475087,0.0615559267999145,0.178414357398689,0.444273566653429,0.530742406242939,0.284639961849912
"i.1",0.176804220493392,0.0603141233955961,0.0940702301472093,0.370842706167011,1,0.371179810218952,0.095129220111486,0.0624453039431064,0.179263446275963,0.44379092810606,0.530129473146008
"i.0",0.442988022625478,0.177214197416449,0.0608292288449739,0.0943291938475087,0.371179810218952,1,0.371546089091718,0.0956601105732401,0.0629346921169808,0.17955537328124,0.444177026501483
"i.1.1",0.530629320019402,0.443215607514031,0.177583488712913,0.0615559267999145,0.095129220111486,0.371546089091718,1,0.37182357883508,0.0960205026680701,0.0636818949322935,0.18041580140292
"i.2.1",0.28429702634442,0.530835349156892,0.443483913273738,0.178414357398689,0.0624453039431064,0.0956601105732401,0.37182357883508,1,0.372088456731088,0.0968630315033634,0.0645938675355524
"i.3.1",0.108380259096969,0.284578825021167,0.531037885448192,0.444273566653429,0.179263446275963,0.0629346921169808,0.0960205026680701,0.372088456731088,1,0.372872680039106,0.0976973172379009
"i.4.1",0.134879536978167,0.109029698152466,0.285326422886308,0.530742406242939,0.44379092810606,0.17955537328124,0.0636818949322935,0.0968630315033634,0.372872680039106,1,0.372307392555822
"i.5.1",0.306173994513693,0.135598426920679,0.109833141922576,0.284639961849912,0.530129473146008,0.444177026501483,0.18041580140292,0.0645938675355524,0.0976973172379009,0.372307392555822,1
Correlation for file  I03_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,-0.179683811985748,0.312955609190622,0.145882747216671,0.257074948331963,0.0246356090110155,0.283431339975348,0.0458087936225701,0.191885641852774,0.0772313721431235,0.165691547704815
"i.4",-0.179683811985748,1,-0.179827394738893,0.312853314371321,0.145815805627495,0.257068584964471,0.0239610890606352,0.283528221427571,0.0458202154932601,0.191791793589068,0.0770280873416061
"i.3",0.312955609190622,-0.179827394738893,1,-0.179991862186674,0.312796107301018,0.145771022331267,0.25639358387267,0.0241770378791758,0.283543198890263,0.0457559560197083,0.191658540319292
"i.2",0.145882747216671,0.312853314371321,-0.179991862186674,1,-0.180089424737328,0.312748303920018,0.145421045036598,0.256021129482917,0.024166661223325,0.28351457540548,0.0456665619698642
"i.1",0.257074948331963,0.145815805627495,0.312796107301018,-0.180089424737328,1,-0.18012805397126,0.312151404996856,0.14529580238621,0.256022960787508,0.0241298769912101,0.283433000646602
"i.0",0.0246356090110155,0.257068584964471,0.145771022331267,0.312748303920018,-0.18012805397126,1,-0.180325420685251,0.312024134121137,0.145305657328765,0.255956993838156,0.0240005896954665
"i.1.1",0.283431339975348,0.0239610890606352,0.25639358387267,0.145421045036598,0.312151404996856,-0.180325420685251,1,-0.182898623649911,0.311447122856521,0.14537449352764,0.256139037275208
"i.2.1",0.0458087936225701,0.283528221427571,0.0241770378791758,0.256021129482917,0.14529580238621,0.312024134121137,-0.182898623649911,1,-0.182410885842216,0.310556610665971,0.14443079859398
"i.3.1",0.191885641852774,0.0458202154932601,0.283543198890263,0.024166661223325,0.256022960787508,0.145305657328765,0.311447122856521,-0.182410885842216,1,-0.182428292876469,0.310502414923535
"i.4.1",0.0772313721431235,0.191791793589068,0.0457559560197083,0.28351457540548,0.0241298769912101,0.255956993838156,0.14537449352764,0.310556610665971,-0.182428292876469,1,-0.182377600630341
"i.5.1",0.165691547704815,0.0770280873416061,0.191658540319292,0.0456665619698642,0.283433000646602,0.0240005896954665,0.256139037275208,0.14443079859398,0.310502414923535,-0.182377600630341,1
Correlation for file  I04_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,0.875281253931873,0.922695044607472,0.882894221314635,0.925054058872696,0.879219232851566,0.907577665342198,0.884187055375271,0.914727044377397,0.881251843617722,0.900761841757831
"i.4",0.875281253931873,1,0.875325218157961,0.922783084615755,0.883002819772228,0.92517472022733,0.879375841234026,0.907760618392818,0.884300806538356,0.914842685671974,0.881403864759771
"i.3",0.922695044607472,0.875325218157961,1,0.87532728693349,0.922793598393492,0.883014346840962,0.925205438682368,0.879412333908986,0.907772047119985,0.884310910894823,0.914869897903314
"i.2",0.882894221314635,0.922783084615755,0.87532728693349,1,0.875318029145573,0.922789161306579,0.8830115591194,0.925213772930746,0.879403646674916,0.907765893305689,0.884307355402527
"i.1",0.925054058872696,0.883002819772228,0.922793598393492,0.875318029145573,1,0.875304723400918,0.92278332736081,0.883003145919938,0.925206221415636,0.87939127666737,0.907757852635785
"i.0",0.879219232851566,0.92517472022733,0.883014346840962,0.922789161306579,0.875304723400918,1,0.875289562555661,0.922777877464901,0.882990065241196,0.925197866539527,0.879376514404338
"i.1.1",0.907577665342198,0.879375841234026,0.925205438682368,0.8830115591194,0.92278332736081,0.875289562555661,1,0.875265980086833,0.922770714134843,0.882977267074968,0.925184889574664
"i.2.1",0.884187055375271,0.907760618392818,0.879412333908986,0.925213772930746,0.883003145919938,0.922777877464901,0.875265980086833,1,0.875254350505704,0.92276673685352,0.882956121749678
"i.3.1",0.914727044377397,0.884300806538356,0.907772047119985,0.879403646674916,0.925206221415636,0.882990065241196,0.922770714134843,0.875254350505704,1,0.875241003838493,0.922759382160129
"i.4.1",0.881251843617722,0.914842685671974,0.884310910894823,0.907765893305689,0.87939127666737,0.925197866539527,0.882977267074968,0.92276673685352,0.875241003838493,1,0.875227031042296
"i.5.1",0.900761841757831,0.881403864759771,0.914869897903314,0.884307355402527,0.907757852635785,0.879376514404338,0.925184889574664,0.882956121749678,0.922759382160129,0.875227031042296,1
Correlation for file  I05_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,0.412724863155359,0.4998409212332,0.493942597616693,0.414614411217061,0.43108441908089,0.385095306514126,0.377784199374929,0.35411718475059,0.349603853596065,0.296640964536548
"i.4",0.412724863155359,1,0.415406215718657,0.501392715513533,0.495316681147423,0.415143926507656,0.432540355201132,0.387234400260589,0.379955829963152,0.355221985599783,0.350590833654093
"i.3",0.4998409212332,0.415406215718657,1,0.415260775772042,0.501209678996259,0.494433630193329,0.414722787446686,0.432727423311969,0.387391581394596,0.37936311263263,0.35469277080296
"i.2",0.493942597616693,0.501392715513533,0.415260775772042,1,0.415274444454016,0.501108187203763,0.494407773559655,0.414731135646588,0.432737666618604,0.387331746216785,0.379311722175901
"i.1",0.414614411217061,0.495316681147423,0.501209678996259,0.415274444454016,1,0.415175304569855,0.501095551766468,0.494433837974936,0.414769359454736,0.432690141068107,0.387288898269894
"i.0",0.43108441908089,0.415143926507656,0.494433630193329,0.501108187203763,0.415175304569855,1,0.415164488095898,0.500825497438566,0.494204556982551,0.4148067813254,0.432716349838674
"i.1.1",0.385095306514126,0.432540355201132,0.414722787446686,0.494407773559655,0.501095551766468,0.415164488095898,1,0.415046461486822,0.500716548138998,0.494173645722919,0.414782400827889
"i.2.1",0.377784199374929,0.387234400260589,0.432727423311969,0.414731135646588,0.494433837974936,0.500825497438566,0.415046461486822,1,0.415109677641314,0.50050958627679,0.493994527385488
"i.3.1",0.35411718475059,0.379955829963152,0.387391581394596,0.432737666618604,0.414769359454736,0.494204556982551,0.500716548138998,0.415109677641314,1,0.414926580589665,0.500352738514156
"i.4.1",0.349603853596065,0.355221985599783,0.37936311263263,0.387331746216785,0.432690141068107,0.4148067813254,0.494173645722919,0.50050958627679,0.414926580589665,1,0.4149202710058
"i.5.1",0.296640964536548,0.350590833654093,0.35469277080296,0.379311722175901,0.387288898269894,0.432716349838674,0.414782400827889,0.493994527385488,0.500352738514156,0.4149202710058,1
Correlation for file  I06_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,0.0236107398358905,0.291943375778188,0.187180026533885,0.325216783993892,0.206979763288074,0.231251352426274,0.204880786456946,0.285224307155794,0.186104400342787,0.196373851648358
"i.4",0.0236107398358905,1,0.0235656249339488,0.292398686644364,0.187750600166371,0.325740954749335,0.206478614340474,0.229720346374631,0.206930905680262,0.28583652123385,0.186437528010687
"i.3",0.291943375778188,0.0235656249339488,1,0.0234657809196159,0.292545748253962,0.187743973917042,0.325775223246543,0.206877492086891,0.230150457863427,0.206875361674674,0.285876037266884
"i.2",0.187180026533885,0.292398686644364,0.0234657809196159,1,0.0232355938533639,0.292480384776968,0.187945937880404,0.327045976530914,0.206628881143749,0.230100182643777,0.206780867447131
"i.1",0.325216783993892,0.187750600166371,0.292545748253962,0.0232355938533639,1,0.0230728545350436,0.292862141393832,0.189380239224174,0.326805116421279,0.206391206935819,0.230050582906648
"i.0",0.206979763288074,0.325740954749335,0.187743973917042,0.292480384776968,0.0230728545350436,1,0.023282091231888,0.294194285724849,0.189099246592039,0.326715750469318,0.206326561054462
"i.1.1",0.231251352426274,0.206478614340474,0.325775223246543,0.187945937880404,0.292862141393832,0.023282091231888,1,0.0220192405416786,0.295682566466863,0.18940811403722,0.326937733415148
"i.2.1",0.204880786456946,0.229720346374631,0.206877492086891,0.327045976530914,0.189380239224174,0.294194285724849,0.0220192405416786,1,0.0255474853944357,0.297213241932656,0.190321171906647
"i.3.1",0.285224307155794,0.206930905680262,0.230150457863427,0.206628881143749,0.326805116421279,0.189099246592039,0.295682566466863,0.0255474853944357,1,0.0248539786757784,0.297258932150817
"i.4.1",0.186104400342787,0.28583652123385,0.206875361674674,0.230100182643777,0.206391206935819,0.326715750469318,0.18940811403722,0.297213241932656,0.0248539786757784,1,0.0247372006342107
"i.5.1",0.196373851648358,0.186437528010687,0.285876037266884,0.206780867447131,0.230050582906648,0.206326561054462,0.326937733415148,0.190321171906647,0.297258932150817,0.0247372006342107,1
Correlation for file  I07_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,0.289660636681377,0.478719404257616,0.434657888356839,0.486851168641555,0.453125878619641,0.459165728661924,0.458286567011598,0.474045428910976,0.461320630549441,0.449971478929505
"i.4",0.289660636681377,1,0.289097388387918,0.478153852921365,0.434233910626683,0.486237483277732,0.452697994001174,0.458481962917461,0.457880186307374,0.473393203223703,0.461044580788917
"i.3",0.478719404257616,0.289097388387918,1,0.288500791077074,0.477866075217665,0.433776309451091,0.485911947927526,0.452273516806762,0.458122622245906,0.457469862386919,0.473098195322293
"i.2",0.434657888356839,0.478153852921365,0.288500791077074,1,0.287938799578451,0.477226002769049,0.433337683666811,0.485205628522498,0.451889216629736,0.457394562018802,0.457231835964249
"i.1",0.486851168641555,0.434233910626683,0.477866075217665,0.287938799578451,1,0.287360634401017,0.476913735618147,0.432892929139175,0.484888681890197,0.451468576831673,0.457125078781933
"i.0",0.453125878619641,0.486237483277732,0.433776309451091,0.477226002769049,0.287360634401017,1,0.286738030609799,0.476212329338549,0.432417966757199,0.48421694626768,0.451149807895757
"i.1.1",0.459165728661924,0.452697994001174,0.485911947927526,0.433337683666811,0.476913735618147,0.286738030609799,1,0.286078563064287,0.475909351940221,0.431901548598877,0.483998169185985
"i.2.1",0.458286567011598,0.458481962917461,0.452273516806762,0.485205628522498,0.432892929139175,0.476212329338549,0.286078563064287,1,0.285405678341468,0.475262587842155,0.431487141226112
"i.3.1",0.474045428910976,0.457880186307374,0.458122622245906,0.451889216629736,0.484888681890197,0.432417966757199,0.475909351940221,0.285405678341468,1,0.284740968330516,0.475073953691138
"i.4.1",0.461320630549441,0.473393203223703,0.457469862386919,0.457394562018802,0.451468576831673,0.48421694626768,0.431901548598877,0.475262587842155,0.284740968330516,1,0.284214545416451
"i.5.1",0.449971478929505,0.461044580788917,0.473098195322293,0.457231835964249,0.457125078781933,0.451149807895757,0.483998169185985,0.431487141226112,0.475073953691138,0.284214545416451,1
Correlation for file  I08_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,0.0569929652617327,0.752911560496058,0.163408864967366,0.681163962200684,0.15560695217988,0.641121238708281,0.180555345715192,0.581635135568456,0.20415150682816,0.545638218748792
"i.4",0.0569929652617327,1,0.0577468403165442,0.75493669598189,0.164495053138284,0.683307044804943,0.156856019813037,0.643255492274383,0.181630331052398,0.583270845334799,0.205024381640859
"i.3",0.752911560496058,0.0577468403165442,1,0.0576904480757356,0.754918914497448,0.164416500019135,0.683281053002312,0.156748382477011,0.642690908404722,0.181629154245312,0.582640778997608
"i.2",0.163408864967366,0.75493669598189,0.0576904480757356,1,0.0576339292818493,0.754901391378065,0.164328876695705,0.683242363430805,0.1562605389815,0.642416420746676,0.18111103840685
"i.1",0.681163962200684,0.164495053138284,0.754918914497448,0.0576339292818493,1,0.0575371954379719,0.754874283858055,0.164202788204801,0.68254384104593,0.156364745597019,0.641634387245968
"i.0",0.15560695217988,0.683307044804943,0.164416500019135,0.754901391378065,0.0575371954379719,1,0.0573857025226351,0.754823703611441,0.163651679266502,0.682230913400136,0.155806878623092
"i.1.1",0.641121238708281,0.156856019813037,0.683281053002312,0.164328876695705,0.754874283858055,0.0573857025226351,1,0.0571923011616318,0.754145673564915,0.16365144676146,0.681482944258658
"i.2.1",0.180555345715192,0.643255492274383,0.156748382477011,0.683242363430805,0.164202788204801,0.754823703611441,0.0571923011616318,1,0.0567636571244546,0.753651592776097,0.163206106427056
"i.3.1",0.581635135568456,0.181630331052398,0.642690908404722,0.1562605389815,0.68254384104593,0.163651679266502,0.754145673564915,0.0567636571244546,1,0.0552166159427379,0.753847270233004
"i.4.1",0.20415150682816,0.583270845334799,0.181629154245312,0.642416420746676,0.156364745597019,0.682230913400136,0.16365144676146,0.753651592776097,0.0552166159427379,1,0.0535648894450026
"i.5.1",0.545638218748792,0.205024381640859,0.582640778997608,0.18111103840685,0.641634387245968,0.155806878623092,0.681482944258658,0.163206106427056,0.753847270233004,0.0535648894450026,1
Correlation for file  I09_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,0.658000322098519,0.58577890873341,0.53212059099221,0.508265673430229,0.512505433292802,0.543042354426587,0.585191254962696,0.635254420622389,0.660815711670557,0.637948215724504
"i.4",0.658000322098519,1,0.661670219383036,0.588667799497234,0.534681680278721,0.510731362062501,0.514916602389824,0.545486603568392,0.587564040267571,0.637643669040003,0.662980904022491
"i.3",0.58577890873341,0.661670219383036,1,0.661508511272138,0.588502782797181,0.534504038317679,0.510564937880224,0.514764659081607,0.54539224828835,0.587511677647258,0.637686348549686
"i.2",0.53212059099221,0.588667799497234,0.661508511272138,1,0.661394997686286,0.588373043873557,0.534370628500516,0.510432213248246,0.514661321352268,0.545312865435596,0.587492597299577
"i.1",0.508265673430229,0.534681680278721,0.588502782797181,0.661394997686286,1,0.661298317172811,0.588263938730345,0.534252863457295,0.510330270352663,0.514574816867667,0.54527543860075
"i.0",0.512505433292802,0.510731362062501,0.534504038317679,0.588373043873557,0.661298317172811,1,0.661217331455767,0.58817135251075,0.53417089426235,0.510258644432388,0.514548606311934
"i.1.1",0.543042354426587,0.514916602389824,0.510564937880224,0.534370628500516,0.588263938730345,0.661217331455767,1,0.661155571246967,0.58811837133002,0.534123690690133,0.510252131372282
"i.2.1",0.585191254962696,0.545486603568392,0.514764659081607,0.510432213248246,0.534252863457295,0.58817135251075,0.661155571246967,1,0.661120975070596,0.588087082869353,0.534128765190093
"i.3.1",0.635254420622389,0.587564040267571,0.54539224828835,0.514661321352268,0.510330270352663,0.53417089426235,0.58811837133002,0.661120975070596,1,0.661112408242537,0.588108084699956
"i.4.1",0.660815711670557,0.637643669040003,0.587511677647258,0.545312865435596,0.514574816867667,0.510258644432388,0.534123690690133,0.588087082869353,0.661112408242537,1,0.661131868214973
"i.5.1",0.637948215724504,0.662980904022491,0.637686348549686,0.587492597299577,0.54527543860075,0.514548606311934,0.510252131372282,0.534128765190093,0.588108084699956,0.661131868214973,1
Correlation for file  I10_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,-0.0584317727090646,0.238029846344712,0.291639257370181,0.292961677990723,0.21746539612383,0.260255229675801,0.241574312920997,0.239362514028804,0.220151489415242,0.214321190104345
"i.4",-0.0584317727090646,1,-0.0586150759439441,0.238616246719345,0.292143710102604,0.293727428323038,0.217967495855051,0.260597135958038,0.241999056993085,0.239917169502218,0.221073395746499
"i.3",0.238029846344712,-0.0586150759439441,1,-0.0586089748647594,0.238610863993122,0.292144641300232,0.293705786585099,0.217942208515175,0.260591646862376,0.242002686595341,0.239943005301531
"i.2",0.291639257370181,0.238616246719345,-0.0586089748647594,1,-0.0586140296380836,0.238589464753372,0.292115212682005,0.293689243922071,0.217936805857503,0.260582414680067,0.241980257681136
"i.1",0.292961677990723,0.292143710102604,0.238610863993122,-0.0586140296380836,1,-0.0585956528250129,0.238613587455161,0.29213805827034,0.293699399184669,0.21793993692459,0.260590015919712
"i.0",0.21746539612383,0.293727428323038,0.292144641300232,0.238589464753372,-0.0585956528250129,1,-0.0585521155267861,0.238662673335141,0.292153204682579,0.293692940025677,0.217904005007742
"i.1.1",0.260255229675801,0.217967495855051,0.293705786585099,0.292115212682005,0.238613587455161,-0.0585521155267861,1,-0.0584411062251697,0.238686665699245,0.292147519717562,0.293674132605821
"i.2.1",0.241574312920997,0.260597135958038,0.217942208515175,0.293689243922071,0.29213805827034,0.238662673335141,-0.0584411062251697,1,-0.0583980822897201,0.238694245924795,0.292166647251617
"i.3.1",0.239362514028804,0.241999056993085,0.260591646862376,0.217936805857503,0.293699399184669,0.292153204682579,0.238686665699245,-0.0583980822897201,1,-0.0583938943104923,0.238700863093199
"i.4.1",0.220151489415242,0.239917169502218,0.242002686595341,0.260582414680067,0.21793993692459,0.293692940025677,0.292147519717562,0.238694245924795,-0.0583938943104923,1,-0.05842454930883
"i.5.1",0.214321190104345,0.221073395746499,0.239943005301531,0.241980257681136,0.260590015919712,0.217904005007742,0.293674132605821,0.292166647251617,0.238700863093199,-0.05842454930883,1
Correlation for file  I11_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,0.560587633472558,0.438821406510764,0.35814460426742,0.336413082413992,0.380361780045494,0.425982212608087,0.415337582775117,0.358061825334475,0.26432069175224,0.243403624642129
"i.4",0.560587633472558,1,0.561348665221639,0.440284401252819,0.359322882733569,0.336598516957156,0.380612923394046,0.426524004866495,0.415872650136566,0.358492655357884,0.264361111043883
"i.3",0.438821406510764,0.561348665221639,1,0.561490388070825,0.440438544363313,0.358757231265912,0.336364658679929,0.380584677413347,0.426528960711667,0.415898798263277,0.358516994964798
"i.2",0.35814460426742,0.440284401252819,0.561490388070825,1,0.561581301766579,0.43984031858921,0.358620396047904,0.336447337164252,0.380701060876783,0.42665522902488,0.416051993799658
"i.1",0.336413082413992,0.359322882733569,0.440438544363313,0.561581301766579,1,0.560830907443137,0.43964909876999,0.358693649090221,0.336568761159482,0.38083744643053,0.426811921010852
"i.0",0.380361780045494,0.336598516957156,0.358757231265912,0.43984031858921,0.560830907443137,1,0.56083088092838,0.439258067807016,0.358221861059814,0.336042000546861,0.380234980798281
"i.1.1",0.425982212608087,0.380612923394046,0.336364658679929,0.358620396047904,0.43964909876999,0.56083088092838,1,0.5606976256095,0.439076435560863,0.358017771827448,0.335804120988428
"i.2.1",0.415337582775117,0.426524004866495,0.380584677413347,0.336447337164252,0.358693649090221,0.439258067807016,0.5606976256095,1,0.560681968007395,0.43906443934859,0.357997318368771
"i.3.1",0.358061825334475,0.415872650136566,0.426528960711667,0.380701060876783,0.336568761159482,0.358221861059814,0.439076435560863,0.560681968007395,1,0.56069496362195,0.439078323037673
"i.4.1",0.26432069175224,0.358492655357884,0.415898798263277,0.42665522902488,0.38083744643053,0.336042000546861,0.358017771827448,0.43906443934859,0.56069496362195,1,0.560722694541683
"i.5.1",0.243403624642129,0.264361111043883,0.358516994964798,0.416051993799658,0.426811921010852,0.380234980798281,0.335804120988428,0.357997318368771,0.439078323037673,0.560722694541683,1
Correlation for file  I12_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,0.981669686557451,0.972081340120617,0.964664532158089,0.96191421614871,0.960148624476716,0.955581847586453,0.949743118365636,0.945967505402331,0.945249666158982,0.946148216872517
"i.4",0.981669686557451,1,0.984462950462187,0.974813053016386,0.967113053124052,0.964485343798479,0.962766290900661,0.958276356482384,0.952158608330135,0.948686879037096,0.948159723822163
"i.3",0.972081340120617,0.984462950462187,1,0.984458005988123,0.974804423855889,0.967083364442299,0.964437056772539,0.962709705917045,0.958262400634358,0.952153523645166,0.948663440309364
"i.2",0.964664532158089,0.974813053016386,0.984458005988123,1,0.984459057975494,0.974791027341029,0.96705655201526,0.964404404250886,0.962706780880167,0.958250347859143,0.952109642028012
"i.1",0.96191421614871,0.967113053124052,0.974804423855889,0.984459057975494,1,0.984457692572941,0.974785053075172,0.967050924266162,0.964402338796074,0.962688720317229,0.95819507007845
"i.0",0.960148624476716,0.964485343798479,0.967083364442299,0.974791027341029,0.984457692572941,1,0.984454908845276,0.974781482610633,0.96704961826976,0.964360712120464,0.962592656704288
"i.1.1",0.955581847586453,0.962766290900661,0.964437056772539,0.96705655201526,0.974785053075172,0.984454908845276,1,0.984453951338405,0.974778041074695,0.966986988329805,0.96423025467106
"i.2.1",0.949743118365636,0.958276356482384,0.962709705917045,0.964404404250886,0.967050924266162,0.974781482610633,0.984453951338405,1,0.984452692281921,0.974706957670298,0.966840100340886
"i.3.1",0.945967505402331,0.952158608330135,0.958262400634358,0.962706780880167,0.964402338796074,0.96704961826976,0.974778041074695,0.984452692281921,1,0.984430875476541,0.974643410670137
"i.4.1",0.945249666158982,0.948686879037096,0.952153523645166,0.958250347859143,0.962688720317229,0.964360712120464,0.966986988329805,0.974706957670298,0.984430875476541,1,0.984418866135848
"i.5.1",0.946148216872517,0.948159723822163,0.948663440309364,0.952109642028012,0.95819507007845,0.962592656704288,0.96423025467106,0.966840100340886,0.974643410670137,0.984418866135848,1
Correlation for file  I13_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,0.410715418382667,-0.0894840861824681,-0.0549091654430418,0.247595980242361,0.280615094103104,0.142960133663638,0.0164177394882398,0.102995626775051,0.178789957574883,0.123658347849616
"i.4",0.410715418382667,1,0.410931090589214,-0.0896259349803501,-0.0548382921415307,0.24779004724861,0.280838710208164,0.142905510676307,0.0163030820536194,0.103046250141699,0.178955929224118
"i.3",-0.0894840861824681,0.410931090589214,1,0.410236962072084,-0.0892307397555879,-0.0538650071354494,0.24923083836972,0.279463995450203,0.141809539554913,0.0166232487766308,0.104156258260235
"i.2",-0.0549091654430418,-0.0896259349803501,0.410236962072084,1,0.41074853146726,-0.0886024503403224,-0.0531620341042229,0.248329555461328,0.278861851991122,0.142074858841043,0.017284648515073
"i.1",0.247595980242361,-0.0548382921415307,-0.0892307397555879,0.41074853146726,1,0.410648630776273,-0.0888758760588823,-0.0527459376677085,0.248770708049502,0.278825129308071,0.141903252679054
"i.0",0.280615094103104,0.24779004724861,-0.0538650071354494,-0.0886024503403224,0.410648630776273,1,0.410324558973653,-0.0879752621611395,-0.05209242755277,0.248703380289485,0.278479138084922
"i.1.1",0.142960133663638,0.280838710208164,0.24923083836972,-0.0531620341042229,-0.0888758760588823,0.410324558973653,1,0.411915020911532,-0.0872949321700134,-0.0522551392627901,0.248313666215876
"i.2.1",0.0164177394882398,0.142905510676307,0.279463995450203,0.248329555461328,-0.0527459376677085,-0.0879752621611395,0.411915020911532,1,0.411210609093802,-0.0870864628631585,-0.0513635023188942
"i.3.1",0.102995626775051,0.0163030820536194,0.141809539554913,0.278861851991122,0.248770708049502,-0.05209242755277,-0.0872949321700134,0.411210609093802,1,0.411594949109507,-0.0864906654890666
"i.4.1",0.178789957574883,0.103046250141699,0.0166232487766308,0.142074858841043,0.278825129308071,0.248703380289485,-0.0522551392627901,-0.0870864628631585,0.411594949109507,1,0.411568121461898
"i.5.1",0.123658347849616,0.178955929224118,0.104156258260235,0.017284648515073,0.141903252679054,0.278479138084922,0.248313666215876,-0.0513635023188942,-0.0864906654890666,0.411568121461898,1
Correlation for file  I14_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
